id,status,source_domain,sentence,prelabel_rule_v4,prelabel_sonnet46,unaligned,comment,human_spans
1834-s0010,todo,人工智能招聘,5、细心、工作负责、团队协作精神强，有热情，喜欢高科技电子产品；,工作负责/T | 团队协/T,细心/T | 工作负责/T | 团队协作精神/T | 热情/T,,补全团队协作精神，补充遗漏的细心和热情,
1834-s0011,todo,人工智能招聘,6、物联网、楼宇自控、计算机信息、通讯工程、室内设计、建筑设计等相关专业，具有智能家居、智慧城市、智慧园区相关项目经验者优先。,物联网/K | 楼宇自控/K | 智能家居/K | 智慧城/K,物联网/K | 楼宇自控/K | 计算机信息/K | 通讯工程/K | 室内设计/K | 建筑设计/K,,删除智能家居/智慧城市等项目经验，保留专业知识,
1835-s0001,todo,人工智能招聘, 2、优化模型和召回，提升财经内容的分发效率，改善用户体验；,模型和召回/S | 财经内容的分发效/K | 用户体验/T,优化/S | 召回/K,,优化是可执行技能S，召回是算法知识K，删除职责和体验类,
1835-s0003,todo,人工智能招聘, 4、挖掘数据，改善产品。,挖掘数据，改善产/S,挖掘数据/S,,保留数据挖掘技能，删除改善产品职责,
1835-s0004,todo,人工智能招聘, 职位要求： 1、优秀的代码能力，掌握常用编程语言和算法；,代码能力/S | 编程语言和算法/S,编程语言/S | 算法/K,,编程语言是工具S，算法是领域知识K，代码能力过于宽泛删除,
1835-s0007,todo,人工智能招聘, 4、有推荐、搜索 rank 等相关工作经验优先。,推荐/S | 搜索 rank/S,推荐/K | 搜索/K | rank/K,,推荐/搜索/rank都是领域知识K,
1836-s0000,todo,人工智能招聘,百度搜索马 克 数 据 网 岗位职责： 1、8年以上的软件行业研发经验，4年以上项目管理经验、技术管理或研发管理工作经验；,软件行业研/K | 项目管理经验/S | 技术管理或研发管/S,软件行业研发经验/K | 项目管理经验/S | 技术管理/S | 研发管理/S,,补全半词，拆开并列,
1836-s0001,todo,人工智能招聘, 2、参与技术难题攻关，负责/参与平台技术架构设计、重构；,技术难题攻关/S | 平台技术架构设计/S,技术难题攻关/S | 平台技术架构设计/S | 重构/S,,补充遗漏的重构,
1836-s0002,todo,人工智能招聘, 3、根据业务规划及技术规划制定架构方案；,业务规划及技术规/K,业务规划/S | 技术规划/S | 制定架构方案/S,,拆开并列，补全半词,
1836-s0003,todo,人工智能招聘, 4、负责基础架构组件开发和优化，负责开发和维护平台公用组件和模块；,基础架构组件开发/S | 维护平/S,基础架构组件开发/S | 优化/S | 维护平台公用组件和模块/S,,补全半词，拆开并列,
1836-s0004,todo,人工智能招聘, 5、参与需求分析、概要设计、详细设计等开发过程中相关技术文档的编制及审核；,需求分析/S | 概要设/S | 编制及审核/S,需求分析/S | 概要设计/S | 详细设计/S | 编制/S | 审核/S,,补全半词，拆开并列,
1836-s0006,todo,人工智能招聘, 7、解决项目中的部分技术难题，并参与完成核心代码开发；,技术难题/S | 核心代码开发/S,解决项目中的部分技术难题/S | 核心代码开发/S,,完整技能表述,
1836-s0007,todo,人工智能招聘, 8、给予初、中级软件工程师技术指导和培训。,技术指导和培训/S,技术指导/S | 培训/S,,拆开并列,
1836-s0009,todo,人工智能招聘, 2. 具备良好的面向对象分析、设计、开发能力和思想，精通OO、AOP、OOP及设计模式；,面向对象分析、设/S | 思想，精通OO/K,面向对象分析/S | 设计/S | 开发/S | OO/K | AOP/K | OOP/K | 设计模式/K,,补全半词，拆开并列，理论知识归K,
1836-s0010,todo,人工智能招聘," 3. 具有深厚的专业技术基础，精通Java EE相关技术，熟悉微服务框架Spring boot,Spring cloud框架并有实际的项目开发经验；",技术基/K | Java EE相关技术/S | 微服务框架Spring/S | Spring cloud框架并有实/S | 项目开发经验/S,Java EE相关技术/S | Spring boot/S | Spring cloud框架/S,,修正半词；拆分并列；删年限和熟悉动词；专业技术基础太泛不标；项目经验太泛不标,
1836-s0011,todo,人工智能招聘, 4. 熟悉前台框架，如bootstrap、jquery、Ext、EasyUI等；,前台框架/S | bootstrap、jquery、Ext、EasyUI等/K,bootstrap/S | jquery/S | Ext/S | EasyUI/S,,前端框架是工具归S；拆开并列；前台框架太泛不标,
1836-s0012,todo,人工智能招聘, 5. 熟悉网络应用架构和系统架构，对分布式缓存、消息队列、大数据处理、远程调用等技术至少有2项有研究，熟悉HDFS、Mangodb、Redis、Memcached、 Kafka、Dubbo中的2项以上的技术，了解其原理和使用其优缺点，并有实战经验者优先；,网络应用架构和系/K | 分布式缓存/K | 消息/K | HDFS、Mangodb、Redis、Memcached/K | Kafka、Dubbo中的2项以/S | 原理和使/K | 优缺点/K | 实战经验者/S,网络应用架构/K | 系统架构/K | 分布式缓存/K | 消息队列/K | 大数据处理/K | 远程调用/K | HDFS/S | Mangodb/S | Redis/S | Memcached/S | Kafka/S | Dubbo/S,,修正半词；拆开并列；具体工具归S；架构理论归K；删年限和优先；原理优缺点太泛不标；实战经验太泛不标,
1836-s0013,todo,人工智能招聘, 6. 熟悉掌握Maven构建工具；,Maven构建工具/S,Maven/S,,构建工具是具体工具归S；删熟悉掌握动词,
1836-s0015,todo,人工智能招聘, 8. 熟练使用常用数据库MySql、Oracle、SqlServer等的备份、集群等；,使用常/S | MySql、Oracle、SqlServer等的备/S | 集群等/S,MySql/S | Oracle/S | SqlServer/S | 备份/S | 集群/S,,修正半词；数据库和操作都是工具归S；拆开并列；删使用动词,
1836-s0019,todo,人工智能招聘, 10. 了解php、python、go等语言，并有实际项目经验者优先 11. 做过能源、电力行业信息化项目、物联网项目者优先。,go等/K | 能源/K | 电力行业信/K,php/S | python/S | go/S | 能源/K | 电力行业/K,,修正半词；编程语言归S；行业领域归K；拆开并列；删项目经验和优先,
1837-s0022,todo,人工智能招聘,"公司致力于刷脸支付.小程序开发,网站开发等：以AI和大数据为基础，打造全球聚合新收银支付和共享综合平台，通过先进的技术和模式赋能小微企业，线下实体店，解决经营，管理，推广 销售等方面遇到的问题。",刷脸支付.小程序/S | AI和大数据为基础/K | 先进的技术和模式/K | 经营，管理，推广/K,[],,公司简介宣传句不标,
1838-s0001,todo,人工智能招聘,2、从广告资源组合及账户运营优化的角度对接直客广告主，指导客户广告投放及账户优化，提升广告收入。,广告资源组合及账/K | 指导客/S | 广告投放及账户优/S,账户运营/S | 优化/S | 广告投放/S,,修正半词；具体操作归S；拆开并列；删指导动词；广告资源组合太泛不标,
1838-s0002,todo,人工智能招聘,3、针对KA客户，形成一套完整的广告投放数据监测体系。,KA客户，形成一套/K | 广告投放数据监测/K,广告投放数据监测/S,,KA客户是客户类型不是能力；监测是可执行技能S,
1838-s0004,todo,人工智能招聘,5、同时关注各广告平台的相关行业资讯，推动内部商业化的相关功能迭代，提升商业化收入。,时关注各/T | 资讯，推动内/K | 迭代，提升商/S | 收入/K,[],,都是半词切断，且多为岗位职责描述，非能力要求,
1838-s0005,todo,人工智能招聘,6、不定期整理及输出行业投放指导手册任职要求：1、学历背景：本科及以上学历，计算机、统计、经济、数理、信息等相关专业优先；,整理及输出行/S | 计算机、统计、经/K,本科及以上学历/K | 计算机/K | 统计/K | 经济/K | 数理/K | 信息/K,,补全学历；专业并列拆开；整理输出是职责,
1838-s0007,todo,人工智能招聘,3、熟悉多种数据源深度诊断性组合分析、挖掘和建模、数理统计、数据分析、数据挖掘以及常用算法；,数据源深/K | 挖掘和建模/S | 数理/S | 常用算法/S,建模/S | 数理统计/K | 数据分析/S | 数据挖掘/S,,数据源深、挖掘和建模、常用算法都是半词；补全完整词,
1838-s0008,todo,人工智能招聘,4、三年以上大中型互联网公司经营或BI相关工作经验，互联网公司广告运营分析优先；,互联网公司经营或/K | BI相关/K | 广告运营分析优先/S,BI/S | 广告运营分析/S,,BI是工具技能S；删除半词和年限描述,
1838-s0009,todo,人工智能招聘,5、对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，优秀的数据思维和数据决策意识，且思维缜密，做事认真严谨；,商业和业务逻辑敏/K | 逻辑分析能力和系/T | 数据思维和数据决/T | 思维缜密，做事认/T,逻辑分析能力/T | 系统性思维能力/T | 数据思维/T | 数据决策意识/T | 思维缜密/T | 认真严谨/T,,删除半词；补全完整软技能并列拆开,
1838-s0011,todo,人工智能招聘,7、具备团队合作能力，能良好的沟通反馈能力，协调跨部门需求和解决问题；,团队合作能/T | 良好的沟通反/T | 协调跨/T | 解决问题/T,团队合作能力/T | 解决问题/T,沟通能力 | 协调能力,补全半词为完整软技能,
1838-s0012,todo,人工智能招聘,一句话介绍工作内容：base在广告销售团队，协助销售，指导客户广告投放，优化广告效果，提升广告主的消耗以完成团队的销售目标特质：踏实、细心、有数据敏感度、抗压能力强,协助销/S | 指导客/S | 优化广/S | 提升广/S | 踏实/T | 细心/T | 有数/T,踏实/T | 细心/T | 数据敏感度/T | 抗压能力/T,,前面是职责描述；特质部分补全完整词,
1839-s0002,todo,人工智能招聘, 3、能够快速熟悉外部设备的SDK，并将设备接入现有系统平台，实现推流和拉流操作；,快速熟悉外/T | 接入现/S | 推流和拉流操/S,接入/S | 推流/S | 拉流/S,,补全半词，拆开并列,
1839-s0003,todo,人工智能招聘, 4、实现视频编解码功能和相关平台的优化；,实现视/S | 优化/S,视频编解码/S | 优化/S,,补全半词,
1839-s0006,todo,人工智能招聘,"对视频行业有深入的认识和理解 2.精通RTP/RTCP协议,有丰富的RTP/RTCP协议解析编程经验;",视频行业有/K | RTCP协议/K | 经验/S,视频行业/K | RTP/RTCP协议/K | RTP/RTCP协议解析/S,,补全半词，删掉经验,
1839-s0007,todo,人工智能招聘, 3.熟悉directshow，OPENGL开发;,directshow，OPENGL开发/S,directshow/S | OPENGL/S,,拆开并列，去掉开发,
1839-s0008,todo,人工智能招聘," 4.熟悉视频Codec，熟悉H263, H264等. 5.有语音通讯开发经验，了解语音输入输出技术，更佳 6.有流媒体或视频系统开发及优化经历者优先. 7.有视频图像识别算法开发经验 （来源 马克数据网）","视频Codec/K | H263, H264等. 5/K | 语音通讯开发经验/S | 语音输入输出技术/K | 视频系统开发及优/S | 视频图像识别算法/S",Codec/S | H263/S | H264/S | 语音通讯开发/S | 语音输入输出技术/K | 流媒体/K | 视频系统开发/S | 优化/S | 视频图像识别算法/S,,删掉序号4，拆开并列，补全半词,
1840-s0000,todo,人工智能招聘,岗位职责：1、这个岗位主要负责公司智能交通大数据平台项目的运营工作，提升业务营运效益，带领公司的管理团队，执行公司的经营战略，完成公司的年度业务计划；,大数据平台项/K | 运营工作/S | 提升业/S | 带领公/S | 执行公/S | 经营战略，完成公/K,智能交通/K | 大数据平台/K | 运营/S,,整句职责不标，只保留领域知识和核心技能,
1840-s0001,todo,人工智能招聘,2、负责公司全年整体营销策略的拟定与实施，并对营销预算进行整体预测，制定工作计划并实施；,营销策略的拟/K | 与实施/S | 营销预算进/K | 制定工作计划并实/S,营销策略/K | 营销预算/K,,删掉泛化动词,
1840-s0002,todo,人工智能招聘,3、组织分解落实市场目标、公关策略和具体实施方案，全面负责政府项目的市场营销工作；,组织分/S | 落实市/S | 市场营销工作/K,市场营销/K,,删掉泛化动词,
1840-s0003,todo,人工智能招聘,4、负责组建市场团队并完善管理体系和推广模式，制定和完善市场管理规范和工作流程；,组建市场团队并完/T | 推广模式，制定和/S | 市场管理规范和工/K,[],,职责描述，不标,
1840-s0004,todo,人工智能招聘,5、负责与各相关部门协调，合理调配利用资源，策划并带领团队执行市场工作计划。,协调/T | 调配利/S | 策划并带领团队执/T,协调/T,,其他为职责描述,
1841-s0001,todo,人工智能招聘, 2、参与策划与执行，对平台数据分析和挖掘，定期总结效果，优化解决方案；,策划与执行/S | 数据分析和挖掘/S | 总结效/S | 优化解/S,策划/S | 数据分析/S | 挖掘/S,,拆开并列，补全半词,
1841-s0002,todo,人工智能招聘," 3、地推团队的组建与管理，拓展渠道及发展商业合作伙伴, 并对数据做分析总结；",组建与管理，拓展/S | 对数据做分析总结/S,拓展渠道/S,数据分析,组建管理为职责，拆开并列,
1841-s0005,todo,人工智能招聘, 5、负责对员工入职后的各项工作安排，业务考核及技能指导，完善各项管理制度。,对员工入职后的各/S,[],,职责描述,
1841-s0006,todo,人工智能招聘, 任职要求： 1、市场营销、电子商务、广告、专业，大专以上学历，2年以上同岗位经验，口腔医疗行业经验优先；,市场营销/K | 电子商/K,市场营销/K | 电子商务/K | 广告/K | 大专以上学历/K,,补全半词，添加学历，拆开并列专业,
1841-s0007,todo,人工智能招聘, 2、独立思维，市场触觉敏锐，较强的沟通协调能力及商务谈判技巧；,独立思维，市场触/T | 沟通协调能力及商/T,独立思维/T | 市场触觉敏锐/T | 沟通协调能力/T | 商务谈判技巧/T,,补全半词，拆开并列,
1841-s0008,todo,人工智能招聘,团队建设管理经验，承压能力强；,团队建设管理经验/T | 承压能力强/T,团队建设管理经验/T | 承压能力/T,,去掉强字,
1842-s0000,todo,人工智能招聘,岗位职责： 1.把握安防行业市场趋势，并根据公司的情况和产品规划，制定产品研发推广计划；,安防行业市/K | 制定产/S | 推广计划/S,安防行业/K | 制定/S | 推广计划/S,,补全半词；安防行业市→安防行业；制定产→制定,
1842-s0001,todo,人工智能招聘, 2.产品线内新品上市全案跟踪，新产品上市推广计划的实施和后续评估；,新品上市全案跟踪/S,上市推广/S | 评估/S,,整句职责拆短；新品上市全案跟踪太长且混杂，拆为具体动作,
1842-s0003,todo,人工智能招聘, 4.以产品负责人的角色，协调市场、销售、生产、研发等部门，共同寻求解决方案；,协调市/T | 销售/K | 生产/K | 研发/K | 寻求解决方案/S,协调/S,,协调市→协调；销售生产研发是部门名非能力；寻求解决方案是职责描述非独立技能,
1842-s0005,todo,人工智能招聘, 6.协助营销中心做好各种售前、售后培训。,售前/K | 售后培训/K,培训/S,,售前售后是场景非能力；培训是可执行技能,
1842-s0006,todo,人工智能招聘, 任职要求： 1.两年以上安防行业、电子通信行业、智能家居行业产品经理经验或产品策划管理经验；,安防行业/K | 电子通/K | 产品策划管理经验/K,安防行业/K | 电子通信行业/K | 智能家居行业/K | 产品策划/S | 管理/S,,补全电子通→电子通信行业；产品策划管理拆开,
1842-s0008,todo,人工智能招聘, 3.熟悉安防产品整体实现过程，包括从需求分析到产品发布，深刻理解用户需求；,安防产品整体实现/K | 需求分析到产品发/S | 用户需求/K,安防产品/K | 需求分析/S,,补全半词；需求分析到产品发→需求分析；用户需求是理解对象非能力本身,
1842-s0009,todo,人工智能招聘, 4.良好的跨部门沟通能力和团队协作能力，独立工作能力强，态度积极，有敬业精神和解决问题的能力；,跨部门沟通能力和/T | 解决问题的能力/T,沟通能力/T | 团队协作能力/T | 独立工作能力/T | 敬业精神/T | 解决问题的能力/T,,跨部门沟通能力和→沟通能力；补全并列软技能,
1842-s0010,todo,人工智能招聘, 5.数据分析能力强及良好的分析、谈判能力。,数据分析能/S | 谈判能/T,数据分析能力/S | 谈判能力/T,,补全半词；数据分析是可执行技能归S,
1843-s0002,todo,人工智能招聘, 3、负责数据平台相关数据管理工作，如研发规范、质量规范、保障规范的制定与推动实施落地；,数据平台相关/K | 数据管理工作/K | 研发规范/K | 质量规/K,数据管理/S | 研发规范/K | 质量规范/K,,补全半词质量规；数据平台相关是修饰语不标；数据管理工作拆为数据管理S,
1843-s0003,todo,人工智能招聘, 4、负责数据产品如用户画像等设计、研发，负责来自业务团队数据需求的研发支撑。,数据产品如用户画/K | 业务团队数/T | 研发支撑/S,用户画像/K | 研发/S,,补全用户画像；业务团队数是半词且非技能删除；研发支撑保留研发S,
1843-s0004,todo,人工智能招聘, 任职资格: 1、熟悉Linux开发技术，有SQL、ETL开发经验；,Linux开发技术/S | ETL开发经验/S,Linux/S | SQL/S | ETL/S,,拆开具体工具；开发技术是动词短语不标,
1843-s0005,todo,人工智能招聘, 2、了解Hadoop/Hive/Spark等大数据技术，有较丰富的HiveSQL性能调优经验，至少熟练使用Shell、Python、Perl等脚本语言之一；,Spark等/S | HiveSQL性能调优经验/S | 熟练使用Shell、Python/S,Hadoop/S | Hive/S | Spark/S | HiveSQL/S | Shell/S | Python/S | Perl/S,,并列拆开所有工具；性能调优经验删除；熟练使用删除,
1843-s0006,todo,人工智能招聘, 3、了解数据仓库建设基本思路，有数据仓库建设项目经验；,数据仓库建设基本/K | 数据仓库建设项目/K,数据仓库/K,,数据仓库是领域知识K；建设基本思路和建设项目是描述不标,
1843-s0007,todo,人工智能招聘, 4、具备互联网/电商行业的数据开发经验优先考虑；,数据开发经验/S,数据开发/S,,保留数据开发S；经验年限不标,
1843-s0008,todo,人工智能招聘, 5、工作认真、负责、仔细，有良好的团队合作精神，良好的分析及沟通能力。,团队合作精/T | 分析及沟通能/T,团队合作精神/T | 沟通能力/T,分析能力,补全半词；拆开并列的分析及沟通,
1844-s0002,todo,人工智能招聘, - 与技术团队协作，确保产品开发符合用户需求。,协作/T | 产品开发符/S,[],,整句是岗位职责描述，无具体技能要求,
1845-s0000,todo,人工智能招聘,职责描述： 1、对公司运营的人工智能英语产品内容进行丰富和完善。,人工智能英/K,人工智能/K | 英语/L,,补全半词；英语是语种,
1845-s0001,todo,人工智能招聘, 2、梳理并完善完善小初高中英语知识图谱，按知识难易程度，完善考试题库。,梳理并完善完/S | 小初高中英语知识/L | 考试题库/K,梳理/S | 完善/S | 英语/L,,拆开并列动词；英语是语种；知识图谱、题库是职责对象非技能,
1845-s0003,todo,人工智能招聘, 3、教学管理：负责公司的教学产品管理工作，对中小学教学团队进行指导、改进教学质量；,教学管理/S | 教学产品管理工作/S | 教学团队进/T | 指导/S | 改进教学质/S,教学管理/S | 指导/S,,产品管理工作、改进质量是职责描述非独立技能；团队进是半词删除,
1845-s0005,todo,人工智能招聘, 4、运营推广：确定产品课程核心竞争力、辅助运营进行产品课程卖点提炼，并为产品课程的宣传、销售提供支持和产品课程知识培训。,确定产品课程核心/S | 宣传/S | 销售提/S | 知识培训/S,宣传/S | 培训/S,,确定核心竞争力、销售提供支持是职责非技能；销售提是半词,
1845-s0007,todo,人工智能招聘, 2、5年以上培训机构课程研发设计或者一线教学工作经验；,课程研发设计或者/S | 教学工作/S,课程研发/S | 设计/S | 教学/S,,拆开并列；删除年限,
1845-s0008,todo,人工智能招聘, 3、具有较强的演说及培训能力，有课程录制经验；,演说及培训能/T | 课程录制经验/S,培训能力/T | 课程录制/S,演说能力,拆开并列；补全半词,
1845-s0009,todo,人工智能招聘, 4、优秀的团队建设经验，团队管理能力强，善于协调团队的工作；,团队建设经验/T | 团队管理能/T | 协调团队的工作/T,团队建设/T | 团队管理能力/T | 协调/T,,拆开并列；补全半词,
1845-s0011,todo,人工智能招聘,逻辑性强和良好的语言表达能力；,强和良/T | 语言表达能力/T,逻辑性/T | 语言表达能力/T,,拆开并列；删除半词强和良,
1846-s0005,todo,人工智能招聘, 薪酬：base/年＊14-16个月＋期权＋各种福利＋成长空间 各种零食、不定期outing，固定活动日 岗位职责 1、反作弊模型的设计和研发 2、异常检测算法的设计和研发 3、反作弊体系和反作弊平台建设 岗位要求 1、本科以上学历，数学、计算机相关专业 2、数学、机器学习基础扎实 3、精通常用的数据挖掘方法的理论基础及应用 4、精通C/C++或JAVA编程，会至少一门脚本语言python/matlab等 5、熟悉大规模数据挖掘、机器学习、分布式计算中一项或多项，具备实际工作经验 6、了解机器学习领域的最新进展，能够快速学习新理论和方法 简历请发：raoying@ishumei.com 欢迎加QQ交流：3042131761 【您能得到的】 o 在这里，你能接触到最新的大数据技术，解决实时数据、大数据处理、算法、数据挖掘的技术难题，了解大数据行业的价值源泉。,反作弊模型的设计/S | 异常检测算法的设/S | 反作弊体系和反作/K | 数学/K | 计算机相关/K | 机器学习基/K | 常用的数据挖/K | C/C++或/S | 大规模数据挖/K | 分布式计算中/K | 机器学习领域/K | 最新的大数据技术/S,本科以上学历/K | 数学/K | 计算机相关专业/K | 机器学习/K | 数据挖掘/K | C/C++/S | JAVA/S | python/S | matlab/S | 分布式计算/K,,补全半词，拆分并列，移除职责和福利内容,
1846-s0010,todo,人工智能招聘,"基于日渐成熟的大数据技术（例如：Hadoop, Spark, 机器学习，深度学习、强化学习、图像识别，搜索引擎和自然语言处理等）挖掘数据内部的价值 核心产品反欺诈SaaS云服务：Data-R 风险决策系统、Data-X垃圾文本识别引擎、Data-M垃圾图片识别引擎、Data-V欺诈账户识别引擎。",大数据技术（/K | 机器学习，深度学/K | 挖掘数/S,[],,产品介绍句，不标技能,
1846-s0011,todo,人工智能招聘,通过领先的机器学习模型和强化学习技术，提供完整的实时反欺诈解决方案。,机器学习模型和强/K | 实时反欺诈解决方/S,[],,产品能力描述，不标技能,
1847-s0000,todo,人工智能招聘,工作职责： 1、负责搭建以Spark技术栈为核心的大数据处理应用框架；,搭建以Spark技术栈为/S | 应用框架/S,Spark/S,,职责句，只标工具本身,
1847-s0001,todo,人工智能招聘, 2、根据实际的业务需求，设计出合理的金融数据处理架构和流程，助力业务高速发展；,设计出/S | 金融数据处理架构/S,设计/S,,职责句，保留设计技能,
1847-s0002,todo,人工智能招聘, 任职要求： 1、计算机相关专业，本科学历以上，至少5年工作经验；,计算机相关/K,计算机相关专业/K | 本科学历以上/K,,补全专业，加学历,
1847-s0003,todo,人工智能招聘, 2、精通Spark Streaming，对Spark有源码修改能力；,有源码修改能力/S,Spark/S,,拆分工具,
1847-s0006,todo,人工智能招聘, 5、从事过复杂事件处理（CEP）的系统设计与开发；,复杂事件处理（CEP/K | 系统设计与开发/S,复杂事件处理/K | 系统设计/S | 开发/S,,补全CEP，拆分设计与开发,
1847-s0007,todo,人工智能招聘, 6、自我驱动，自主学习新的技术和分析方法，并勇于在业务上进行创新。,自我驱动，自主学/T | 技术和分析方法/K | 勇于在业务上进行/T,自我驱动/T | 自主学习/T | 勇于在业务上进行创新/T,,修正半词；拆开并列；创新是软技能特质,
1848-s0000,todo,人工智能招聘,1、负责对数据进行深度分析和挖掘，为优化产品的设计提供数据支持；,数据进行深度分析/S | 优化产品的设计提/S | 数据支持/K,深度分析/S | 挖掘/S,,只标具体技能方法；优化产品设计是职责不是技能；数据支持不是能力要求,
1848-s0001,todo,人工智能招聘, 2、负责对业务运营的各环节进行有价值的专题研究，如对数据挖掘和预测模型的研究、完善重要数据监控流程、探索对运营工作的数据评价模型等等；,专题研究/S | 数据挖掘和预测模/S | 完善重/S | 数据监控流程、探/S | 数据评价模型等等/S,专题研究/S | 数据挖掘/S | 预测模型/S | 数据监控/S | 数据评价模型/S,,修正半词；拆开并列；完善重是半词删除,
1848-s0002,todo,人工智能招聘, 3、与业务团队紧密沟通和联系，解决各部门数据统计和分析需求；,业务团队紧/T | 沟通和联系，解决/T | 数据统计和分析需/S,沟通/T | 数据统计/S | 分析/S,,修正半词；拆开并列；业务团队紧是半词；解决不单独标,
1848-s0003,todo,人工智能招聘, 4、探索并归纳用户标签属性及行业数据及指标，了解行业发展潮流指向及数据情况，负责跟踪数据挖掘和数据分析领域的技术发展方向，定期共享研究成果。,用户标签属性及行/K | 行业发展潮流指向/K | 数据挖掘和数据分/K | 技术发展方向/K | 研究成果/K,数据挖掘/K | 数据分析/K,,用户标签等是职责对象不是能力；数据挖掘数据分析作为领域知识标K；其他是职责描述,
1848-s0004,todo,人工智能招聘, 任职要求： 1、软件电商相关专业，统计学、经济学等相关专业，硕士以上学历；,软件电商相关/K | 统计学/K | 经济学等/K,软件电商相关专业/K | 统计学/K | 经济学/K | 硕士以上学历/K,,修正半词；补充学历要求,
1848-s0005,todo,人工智能招聘, 2、有至少3年以上相关工作经验，有大数据分析经验者优先；,大数据分析经验/S,大数据分析/S,,不标年限；经验改为具体技能,
1848-s0006,todo,人工智能招聘, 3、 1年以上数据分析，挖掘和建模经验，数据分析相关专业；,数据分析，挖掘和/S,数据分析/S | 挖掘/S | 建模/S | 数据分析相关专业/K,,修正半词；拆开并列；补充专业要求,
1848-s0007,todo,人工智能招聘, 4、具有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型；,数据分析能力/S | 速理解业务/T | 设计相应/S | 数据模型/K,数据分析能力/S | 理解业务/T | 设计/S | 数据模型/K,,修正半词，拆分能力,
1848-s0008,todo,人工智能招聘, 5、能够熟练地使用SQL，掌握SPSS、SAS、Weka、R等相关数据分析软件之一；,使用SQL，掌握SPSS/S,SQL/S | SPSS/S | SAS/S | Weka/S | R/S,,拆分工具，不标动词,
1848-s0009,todo,人工智能招聘,熟悉数据库内分析或者Hadoop Mahout大规模并行分析者优先；,数据库内分析或者/K | Hadoop Mahout大规模并行/S,数据库内分析/S | Hadoop/S | Mahout/S,,修正半词，拆分工具,
1848-s0010,todo,人工智能招聘, 6、了解用户深度属性背景，有互联网相关行业背景，有网站用户行为研究和数据挖掘经验者优先；,用户深度属性背景/K | 互联网相关行业背/K | 网站用户行为研究/K,用户行为研究/S | 数据挖掘/S,,删除背景和行业，保留可执行技能,
1848-s0011,todo,人工智能招聘, 7、工作态度认真、责任心强，热情有干劲，富于团队精神，有很强的学习能力，沟通能力。,团队精神/T | 学习能力，沟通能/T,责任心/T | 团队精神/T | 学习能力/T | 沟通能力/T,,修正半词，拆分软技能,
1849-s0001,todo,人工智能招聘,公司借助大数据、人工智能等金融科技，依托银行、P2P、证券和保险等近百家合作平台，致力于整合产品资源、渠道资源和技术资源，构筑多元化综合服务平台。,大数据/K | 人工智能/K | 银行/K | 证券和/K | 整合产/S | 渠道资源和技术资/K,[],,公司简介,
1849-s0004,todo,人工智能招聘," 一．招聘职位：电话客服：通过电话沟通需求贷款人员为客户提供贷款服务, 二．招聘要求：年龄要求18-35岁，语言表达能力强：学历不限，有工作经验者优选, 三．薪资待遇：底薪2500+提成10%-15%,月综合8000以上, 四．上班时间：早上9:30-12:00，下午2:00-6:30， 周末双休，节假日带薪休假, 有什么不清楚的可以点击屏幕下方的在线交谈与我取得联系，也可以直接来电咨询",电话沟通需/T | 语言表达能/T,语言表达能力/T,,删除福利和流程，保留能力要求,
1850-s0000,todo,人工智能招聘,"工作职责-负责跨境电商产品后台发展规划及产品设计，持续性改善产品体验-调研其他外贸类电商类产品，包括数据调研、用户行为分析竞品功能设计，以数据为核心，为产品迭代提供方向-负责产品开发质量的整体把控，包括研发的推进，测试的把控，出现问题具备快速分析并解决的能力-负责产品推进过程中与业务部门的沟通和协调，收集业务需求，完善产品方案-对产品线上效果负责任职要求-本科及以上学历-1年以上互联网电商类产品设计，熟练使用多种产品设计工具，独立完成软件交互设计、原型设计-优秀的数据分析和挖掘能力，对电商产品全生命周期了解，对各类营销模式的用户体验和特色功能有敏锐的感知力-有实体外贸商业，跨境电商设计经验优先-熟悉B2B的电商运营模式，营销资源设置，具备较高的商业敏感度-逻辑清楚，思维活跃，学习能力强,具有较好的语言文字表达能力-具备良好的组织协调能力，敏锐的市场洞察力福利待遇股票期权,弹性工作,五险一金,免费班车,岗位晋升,节日礼物,大数据,广告,工程师文化",跨境电商产品后台/K | 产品设计，持续性/S | 外贸类电商类产品/K | 数据调/K | 用户行为分析竞品/S | 产品迭代提/S | 产品开发质量的整/S | 研发的推进，测试/S | 快速分析并解决的/S | 产品推进过/S | 沟通和协调，收集/T | 产品线上效果负责/K | 互联网电商类产品/K | 使用多种产品设计/S | 软件交互设计、原/S | 数据分析和挖掘能/S | 电商产品全生命周/K | 营销模式的用户体/K | 感知力-/T | 实体外贸商业，跨/K | B2B的电商运营模式/K | 商业敏感度-逻辑/T | 语言文字表达能力/S | 组织协调能力/T | 市场洞察力福/T,电商/K | 产品设计/S | 数据调研/S | 用户行为分析/S | 沟通/T | 协调/T | 本科及以上学历/K | 互联网/K | 产品设计工具/S | 交互设计/S | 原型设计/S | 数据分析/S | B2B/K | 逻辑/T | 学习能力/T | 语言文字表达能力/T | 组织协调能力/T | 市场洞察力/T,数据挖掘,删除福利，修正半词和重复，短而独立,
