n,cross_split,locations,text_preview
3,0,train:446-s0010|train:1188-s0009|train:1491-s0008,5、有责任心，能承受较大的工作压力；
3,0,train:446-s0011|train:1188-s0010|train:1491-s0009,6、有团队协作精神，善于挑战。
4,0,train:449-s0001|train:449-s0002|train:449-s0004|train:449-s0005,急！
5,1,train:455-s0034|test:1991-s0114|test:1991-s0115|test:1991-s0116|test:1991-s0117,&gt;
2,0,train:455-s0043|train:770-s0013,​
2,0,train:456-s0010|train:941-s0010,期待您的加入！
2,0,train:462-s0014|train:1101-s0015,4、发展途径：管理者及职能部门的多途径发展空间。
2,0,train:470-s0015|train:712-s0007,周末双休！
2,0,train:472-s0000|train:472-s0014,任职资格：1、反应敏捷、表达能力强，具有较好的沟通能力及交际能力、亲和力；
2,0,train:472-s0001|train:472-s0015,2、有团队协作精神，敢于并善于挑战；
2,0,train:472-s0003|train:472-s0017,4、各校应届毕业生及实习生可考虑。
2,0,train:472-s0004|train:472-s0018,培训：1、公司员工享受公司定期和不定期的各项培训（在岗培训带薪）；
2,0,train:472-s0005|train:472-s0019,2、主管级以上人员每年不定期参加公司总部举办的管理培训（带薪）；
2,0,train:472-s0006|train:472-s0020,3、丢失优秀人员带薪享受公司不定期组织的总部培训。
2,0,train:472-s0007|train:472-s0021,福利待遇：1、公司按照国家法定节假日休息；
2,0,train:472-s0008|train:472-s0022,2、公司会不定期举行旅游、聚餐、户外运动等活动；
2,0,train:472-s0009|train:472-s0023,3、每月休息4天；
2,0,train:472-s0010|train:472-s0024,4、公司提供稳定的发展平台和广阔的晋升空间。
2,0,train:472-s0011|train:472-s0025,活动福利：（1）各种旅游，除省内、国内游，还有机会去国外旅游；
2,0,train:472-s0012|train:472-s0026,（2）各种健身娱乐活动、比赛竞技、演讲比赛、郊游等。
2,0,train:472-s0013|train:472-s0027,团队：是一支年轻、激情、有活力的团队。
2,0,train:476-s0005|train:1133-s0008,4。
9,1,train:483-s0013|train:655-s0012|train:735-s0004|train:941-s0014|train:1105-s0023|train:1112-s0011|train:1389-s0008|train:1480-s0010|dev:1730-s0008,www.macrodatas.cn
2,0,train:490-s0002|train:490-s0008,晋升空间明朗，表现优异均有升职加薪机会。
9,0,train:498-s0005|train:542-s0013|train:794-s0009|train:1031-s0009|train:1086-s0014|train:1188-s0011|train:1272-s0009|train:1275-s0006|train:1298-s0009,关注微信公众号马克数据网
2,0,train:501-s0001|train:875-s0001,"入职满一个月可报销路费"", , 报名咨询电话：185十5010十7915(微信同号) 联系：吴主管 ！"
2,0,train:501-s0002|train:875-s0002,", 薪资待遇：, 1、第一月试用期薪资综合4000-4500元/月；"
2,0,train:501-s0004|train:875-s0004,", 3、学徒3800-4500元/月；"
2,0,train:531-s0001|train:901-s0001,五官端正，身材匀称，气质较好，普通话标准。
2,0,train:551-s0002|train:805-s0002,【温馨提示】：为了避免您的简历石沉大海，请应聘者尽可能电话联系！
2,0,train:551-s0004|train:805-s0004,（本次招聘为本公司内部直接招聘）〈中介勿扰〉可接受短期工一长期工一实习应届生一退伍军人优先入职（包食宿）；
2,0,train:551-s0005|train:805-s0005,详情请直接联系合招聘要求工作地点：北京地铁2一16全线分配（2号线，4号线、6号线、8号线、10号线、13号线、16号线等条线）一、工作内容：（1）在地一铁站内检测旅行及旅客行李，防止旅客携带易燃易爆等危险物品进站。
2,0,train:551-s0006|train:805-s0006,（2）辅助公交司机对公一交车辆及乘客的安全监督与维护.（因北京市户口名额有限，现处于满编状态，现阶段只接收非京籍求职者）二、任职资格：1、男：17~33周岁，身高165cm以上/女：17~35周岁，身高155cm以上2、无明显纹身及烟疤，无
2,0,train:551-s0007|train:805-s0007,三、工作时间：上二休一，轮休倒班制，20天满勤，10天休大白班（早7:00——晚5：00，每上2小时之间均休息0.5小时）小白班（早9:30——晚5：00，每上2小时之间均休息0.5小时）小夜班（晚5:00——夜9：30，每上2小时之间均休
2,0,train:551-s0008|train:805-s0008,转正：底薪2700+加班费（大白120元、小白90元、小夜50元）+奖金（检测出危险物品公安机关奖励500~1500）+早晚高峰补助——月综合收入：4500~5500不等。
5,1,train:564-s0018|train:827-s0010|train:848-s0032|train:953-s0011|test:1805-s0010,来源：百度马 克 数据网
2,0,train:580-s0014|train:902-s0009,我们期待你的加入！
47,0,train:582-s0000|train:582-s0003|train:582-s0005|train:582-s0008|train:582-s0010|train:582-s0013|train:852-s0000|train:852-s0004|train:852-s0008|train:852-s0010|train:852-s0014|train:852-s0016,lt;
10,0,train:582-s0001|train:582-s0006|train:582-s0011|train:852-s0001|train:852-s0005|train:852-s0011|train:852-s0017|train:852-s0021|train:852-s0025|train:852-s0030,pgt;
10,0,train:582-s0004|train:582-s0009|train:582-s0014|train:852-s0003|train:852-s0009|train:852-s0015|train:852-s0019|train:852-s0023|train:852-s0028|train:852-s0034,/pgt;
2,0,train:628-s0001|train:628-s0005,2.根据安全带产品图纸，安装试验治具及试验样品，完成试验；
2,0,train:628-s0002|train:628-s0006,3.试验后原始数据记录，试验报告做成；
2,0,train:628-s0003|train:628-s0007,4.试验不合格发生时，对结果进行分析；
2,0,train:636-s0003|train:1577-s0016,优秀应届生亦可。
2,1,train:658-s0000|dev:1605-s0000,来自马克数据网 。
3,0,train:672-s0006|train:672-s0008|train:672-s0010,&#8226;
2,1,train:692-s0004|test:1897-s0005,5、学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；
2,0,train:739-s0000|train:739-s0008,岗位职责： 1、负责客户整理单据，处理客户的税务以及其他财务方面的问题。
2,0,train:739-s0001|train:739-s0009,2、了解客户需求，为其提供专业财务咨询；
2,0,train:739-s0002|train:739-s0010,3、适当提供客户合理的财税建议；
2,0,train:739-s0003|train:739-s0011,4、客户相关信息的管理，建立客户档案；
2,0,train:739-s0005|train:739-s0013,2、有财务会计工作经验者优先；
2,0,train:739-s0006|train:739-s0014,3、熟悉会计报表的处理，会计法规和税法，熟练使用财务软件；
2,0,train:739-s0007|train:739-s0015,4、良好的学习能力、独立工作能力和财务分析能力；
2,0,train:742-s0006|train:1358-s0006,任职要求：1.&nbsp;
2,0,train:810-s0001|train:810-s0003,1、此次招聘的岗位有：文秘（4人）、市场营销（6人）、餐饮管理（4人)、审计（2人）、电子商务（6人）、会计（6人） 2、专业要求：财务、经济类、人力资源、IT（软、硬件）专业、中文类、酒店管理、机械设备类、食品类、电子商务、物流专业类、市
2,0,train:813-s0011|train:848-s0008,任职要求：&nbsp;
2,0,train:836-s0009|train:1536-s0002,] 来源：马 克 数 据 网
2,0,train:840-s0020|train:840-s0021,为了你第一时间报名成功录入你的资料，请尽量电话联系、短信报名！
2,0,train:852-s0007|train:852-s0013,nbsp;
2,0,train:861-s0008|train:957-s0009,18到25岁优先培养，农村户口和退伍军人优先安排2、身体健康、不晕车、认识26个英文字母，无犯罪记录；
2,0,train:861-s0011|train:957-s0012,"每年组织优秀员工到国内知名景点旅游晋升空间：公司三个月一次评比，年底总结，公司管理岗位90%由普通员工晋升担任天上不会掉馅饼,只有靠自己的努力拼搏才是成功的最佳捷径！"
2,0,train:872-s0000|train:911-s0012,岗位职责：1、负责公司产品的销售及推广；
3,0,train:872-s0004|train:911-s0016|train:1188-s0003,5、负责销售区域内销售活动的策划和执行，完成销售任务；
3,0,train:872-s0005|train:911-s0017|train:1188-s0004,6、管理维护客户关系以及客户间的长期战略合作计划。
2,0,train:979-s0009|train:1431-s0011,"福利待遇社交媒体平台,全球化,人工智能"
2,1,train:1018-s0014|dev:1683-s0011,-责任心强，正直诚实，值得信赖。
2,0,train:1032-s0001|train:1353-s0001,2、关注国内外行业竞品及发展趋势，结合客户需求与市场需求，迭代更新产品路线；
2,0,train:1040-s0001|train:1040-s0010,2. 精通PHP 5，具备OOP编程思想，熟悉设计模式和算法，具备命令行下开发经验，深入了解PHP的性能最优化和安全最大化；
2,0,train:1040-s0002|train:1040-s0011,3. 熟悉LinuxUnix基本操作，熟悉Apache、MySQL、PHP等软件的编译安装和最优化配置，了解这些软件的版本差异和不同安装运行方式及原理；
2,0,train:1040-s0003|train:1040-s0012,对高并发、高流量Web架构有一定了解；
2,0,train:1040-s0004|train:1040-s0013,4. 熟练使用MySQLOracle数据库，精通SQL和数据结构，具有大型项目数据库设计的经验，有大数据量处理和负载均衡意识；
2,0,train:1040-s0005|train:1040-s0014,5. 掌握LinuxUnix环境编程，掌握Socket编程，熟悉TCP和UDP协议；
2,0,train:1040-s0006|train:1040-s0015,6. 熟练掌握XML、HTMLXHTML、CSS、Javascript、AJAX、JSON、webservice等Web技术。
2,0,train:1040-s0007|train:1040-s0016,7.精通微信公众平台开发，对MVC的开发有较好的理解，能独立开发项目. 8.能运用PHP缓存技术、静态化设计方面的经验；
2,0,train:1040-s0008|train:1040-s0017,熟悉Memcahcet和mongo等；
6,1,train:1040-s0019|train:1056-s0013|train:1262-s0003|train:1401-s0008|dev:1728-s0010|dev:1733-s0011,更多数据：搜索马克数据网来源：www.macrodatas.cn
2,1,train:1043-s0001|dev:1645-s0001,２．通过电话等方式，跟进顾客购买意向，提供相应指导，促成订单；
2,1,train:1043-s0002|dev:1645-s0002,３．为客户制定合理的课程；
2,1,train:1043-s0003|dev:1645-s0003,４．准确收集、统计、整理咨询数据，挖掘有效顾客信息。
2,0,train:1056-s0001|train:1538-s0001,2.核心代码编写；
2,0,train:1056-s0002|train:1538-s0002,3.系统性能调优；
2,0,train:1056-s0003|train:1538-s0003,4.业务需求管理；
2,0,train:1056-s0004|train:1538-s0004,5.数据挖掘分析。
2,0,train:1076-s0016|train:1512-s0016,极强的问题解决能力，习惯于寻找创新方法来达成目标；
2,1,train:1076-s0018|test:1879-s0006,"福利待遇 免费班车,成长空间,年度旅游,岗位晋升,内部转岗机会,管理规范,美女多,帅哥多,影响亿万用户,五险一金,领先技术,新鲜空气,大平台,弹性工作"
2,0,train:1092-s0006|train:1092-s0007,创意！
2,0,train:1164-s0002|train:1582-s0020,我们开放平台、赋能行业、装修、家居、社区服务……与“住”相关的一切，在这里都可以找到。
2,0,train:1164-s0003|train:1582-s0021,新的服务和技术在贝壳生态体系里迭代，建立居住新标准，为万千家庭带来更美妙的家的体验。
2,0,train:1164-s0004|train:1582-s0022,智能、丰富、真实，这就是贝壳。
2,1,train:1193-s0015|dev:1632-s0009,"福利待遇扁平管理,弹性工作,就近租房补贴,六险一金,股票期权,成长空间大,带薪年假,定期体检,免费三餐"
2,0,train:1206-s0000|train:1206-s0004,全日制大专及以上学历，营销、电子、计算机或相关专业；
2,0,train:1206-s0001|train:1206-s0005,勤奋敬业，有强列的责任心、良好的服务意识、三年以上销售经验，具备工业类、电子类、建材类或家具产品销售工作经验；
2,0,train:1206-s0002|train:1206-s0006,具备良好的表达能力、沟通能力、团队精神，能够接受较大的工作压力；
2,0,train:1206-s0003|train:1206-s0007,从事过智能安防产品销售工作、有楼宇对讲、锁具、智能家居类产品销售经验者优先。
2,0,train:1219-s0002|train:1309-s0003,2.有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
2,0,train:1219-s0003|train:1309-s0004,3.有一线产品或运营业务优化经验者优先；
2,0,train:1219-s0004|train:1309-s0005,4.精通SQL，熟练使用R/Python进行数据清洗、分析；
2,0,train:1219-s0005|train:1309-s0006,5.能快速理解业务，发掘业务细节和数据之间的联系；
2,0,train:1219-s0006|train:1309-s0007,6.掌握Tableau等BI工具尤佳。
2,0,train:1240-s0003|train:1240-s0009,2；
2,0,train:1240-s0005|train:1240-s0011,3；
2,1,train:1255-s0005|dev:1645-s0005,3、 签订正式劳动合同，完整合规的社会保险和住房公积金以及餐补；
2,1,train:1255-s0007|dev:1645-s0007,5、 每年享受国家规定的带薪年假、法定节假日等福利；
2,0,train:1287-s0005|train:1408-s0006,良好的团队合作精神，较强的沟通能力。
6,1,train:1308-s0003|train:1449-s0003|dev:1605-s0002|test:1846-s0002|test:1846-s0003|test:1928-s0004,amp;
3,1,train:1309-s0008|dev:1642-s0007|test:1811-s0008,"福利待遇 扁平管理,弹性工作,大厨定制三餐,就近租房补贴,六险一金,股票期权,成长空间大,双线地铁沿线,mac办公"
2,1,train:1310-s0012|dev:1706-s0008,"福利待遇扁平管理,弹性工作,大厨定制三餐,就近租房补贴,六险一金,股票期权,成长空间大,双线地铁沿线,mac办公"
2,0,train:1328-s0014|train:1561-s0003,公司成长迅速，晋升空间大。
2,0,train:1328-s0015|train:1561-s0004,2.Zoom是纳斯达克上市公司。
2,0,train:1328-s0016|train:1561-s0005,加入Zoom有机会获得公司股票期权，与公司分享成长收益。
2,0,train:1328-s0017|train:1561-s0006,3.Zoom是全球增长最快的云视频会议提供商，产品简单易用，深受客户喜爱。
2,0,train:1328-s0018|train:1561-s0007,在Zoom做工程师，技术挑战高，更有成就感！
2,0,train:1328-s0019|train:1561-s0008,4.Zoom汇聚业界技术大牛，管理层也来自技术精英，与爱技术，懂技术的同事切磋技艺是人生一大乐趣。
2,0,train:1328-s0020|train:1561-s0009,5.Zoom员工敬业，管理层体贴，工作氛围轻松开放，人际关系简单融洽，团队温暖有活力！
2,0,train:1328-s0021|train:1561-s0010,6.极具竞争力的薪水，福利待遇好，出国工作、学习和交流机会多。
7,1,train:1332-s0000|train:1332-s0010|train:1449-s0014|train:1513-s0108|train:1513-s0224|dev:1783-s0008|dev:1783-s0009,&quot;
3,0,train:1358-s0003|train:1358-s0009|train:1358-s0020,3.&nbsp;
2,0,train:1358-s0011|train:1358-s0022,4.&nbsp;
2,0,train:1369-s0019|train:1369-s0023,主营室内外设计及效果表现，业务覆盖国内31个省和直辖市，涉及室内样板房、园林景观、城市建筑、商业空间、住宅空间等相关领域，是中国网接效果表现公司的领跑者，是一家拥有自己的效果图网站，拥有自己的业务管理系统，最早制定客户评分机制的专业效果图公
2,0,train:1369-s0020|train:1369-s0024,公司始终坚持以用户需求为导向，遵守诚信、创新、合作、共赢的经营理念，专注于虚拟现实、效果图领域的技术创新，致力于研发有价值的技术解决方案服务于市场，保持行业行端，打造品牌优势，推动产业发展。
2,0,train:1369-s0021|train:1369-s0025,"未来，一品将朝着多元化发展的方向前行，致力于成为国内一流的设计师最贴心的管家,成为客户信赖、社会尊重、有着广泛影响力的企业，为员工提供更加广阔的发展平台。"
2,0,train:1415-s0001|train:1415-s0010,符合条件者，请务必通过公告上的报名方式进行报名。
2,1,train:1453-s0006|test:1823-s0004,2、熟练操作常用办公软件，且具备其它软件应用能力；
2,1,train:1453-s0008|test:1823-s0006,4、对通用类软件或互联网应用产品的人机交互方面有自己的理解和认识；
2,1,train:1453-s0009|test:1823-s0007,5、具备良好的审美能力、深厚的美术功底，有较强的平面设计和网页设计能力；
2,0,train:1473-s0008|train:1473-s0012,具有3年以上运营商数据中心网络运维经验和云计算技术优先;
2,0,train:1473-s0009|train:1473-s0013,具有HCIE/CCIE：RS、DC、ISP、security等方向的认证优先;
2,0,train:1473-s0010|train:1473-s0014,具有PMP、Prince2、Agile等项目管理经验和认证优先;
31,0,train:1513-s0000|train:1513-s0010|train:1513-s0022|train:1513-s0035|train:1513-s0047|train:1513-s0059|train:1513-s0072|train:1513-s0075|train:1513-s0085|train:1513-s0097|train:1513-s0109|train:1513-s0121,&amp;
23,0,train:1513-s0002|train:1513-s0014|train:1513-s0027|train:1513-s0039|train:1513-s0054|train:1513-s0064|train:1513-s0077|train:1513-s0089|train:1513-s0113|train:1513-s0126|train:1513-s0147|train:1513-s0160,span style=&quot;
5,0,train:1513-s0003|train:1513-s0078|train:1513-s0105|train:1513-s0114|train:1513-s0230,mso-bidi-font-size: 10.5pt;
22,0,train:1513-s0004|train:1513-s0016|train:1513-s0029|train:1513-s0041|train:1513-s0066|train:1513-s0079|train:1513-s0091|train:1513-s0115|train:1513-s0128|train:1513-s0149|train:1513-s0162|train:1513-s0174,font-family:宋体;
22,0,train:1513-s0005|train:1513-s0017|train:1513-s0030|train:1513-s0042|train:1513-s0056|train:1513-s0067|train:1513-s0080|train:1513-s0092|train:1513-s0116|train:1513-s0129|train:1513-s0150|train:1513-s0163,mso-ascii-font-family:simsun;
23,0,train:1513-s0006|train:1513-s0018|train:1513-s0031|train:1513-s0043|train:1513-s0057|train:1513-s0068|train:1513-s0081|train:1513-s0093|train:1513-s0117|train:1513-s0130|train:1513-s0151|train:1513-s0164,mso-hansi-font-family:simsun;
19,0,train:1513-s0007|train:1513-s0019|train:1513-s0032|train:1513-s0069|train:1513-s0082|train:1513-s0094|train:1513-s0118|train:1513-s0131|train:1513-s0152|train:1513-s0177|train:1513-s0199|train:1513-s0211,mso-bidi-font-family:宋体;
22,0,train:1513-s0008|train:1513-s0020|train:1513-s0033|train:1513-s0045|train:1513-s0070|train:1513-s0083|train:1513-s0095|train:1513-s0119|train:1513-s0132|train:1513-s0153|train:1513-s0166|train:1513-s0178,color:#333333;
15,0,train:1513-s0009|train:1513-s0021|train:1513-s0034|train:1513-s0046|train:1513-s0071|train:1513-s0084|train:1513-s0120|train:1513-s0154|train:1513-s0167|train:1513-s0201|train:1513-s0213|train:1513-s0236,mso-font-kerning:0pt&quot;
23,0,train:1513-s0015|train:1513-s0028|train:1513-s0040|train:1513-s0065|train:1513-s0090|train:1513-s0127|train:1513-s0141|train:1513-s0148|train:1513-s0161|train:1513-s0173|train:1513-s0188|train:1513-s0195,mso-bidi-font-size:10.5pt;
3,0,train:1513-s0044|train:1513-s0165|train:1513-s0280,mso-bidi-font-family: 宋体;
2,0,train:1513-s0052|train:1513-s0320,5. &amp;
7,0,train:1513-s0096|train:1513-s0133|train:1513-s0179|train:1513-s0249|train:1513-s0295|train:1513-s0329|train:1513-s0342,mso-font-kerning: 0pt&quot;
6,0,train:1513-s0102|train:1513-s0138|train:1513-s0185|train:1513-s0218|train:1513-s0254|train:1513-s0300,span lang=&quot;
6,0,train:1513-s0103|train:1513-s0139|train:1513-s0186|train:1513-s0219|train:1513-s0255|train:1513-s0301,EN-US&quot;
6,0,train:1513-s0104|train:1513-s0140|train:1513-s0187|train:1513-s0220|train:1513-s0256|train:1513-s0302,style=&quot;
2,0,train:1513-s0106|train:1513-s0222,font-family:&quot;
2,0,train:1513-s0107|train:1513-s0223,mso-bidi-font-family:=&quot;
4,0,train:1513-s0142|train:1513-s0189|train:1513-s0258|train:1513-s0304,font-family: &quot;
3,0,train:1513-s0183|train:1513-s0216|train:1513-s0298,熟悉&amp;
2,0,train:1513-s0261|train:1513-s0307,ROS&amp;
49,1,train:1541-s0000|train:1541-s0002|train:1541-s0007|train:1541-s0010|train:1541-s0013|train:1541-s0016|train:1541-s0021|train:1541-s0024|train:1541-s0027|train:1541-s0031|train:1541-s0034|train:1541-s0037,&lt;
69,1,train:1541-s0001|train:1541-s0003|train:1541-s0005|train:1541-s0008|train:1541-s0011|train:1541-s0014|train:1541-s0017|train:1541-s0019|train:1541-s0022|train:1541-s0025|train:1541-s0028|train:1541-s0032,br&gt;
3,1,train:1541-s0050|train:1587-s0020|dev:1781-s0078,工作地址：&lt;
2,1,train:1573-s0000|dev:1620-s0000,该职位来源于猎聘任职要求1.负责公有云解决方案销售及销售运作，负责云产品及相关解决方案的技术包装和营销推广；
2,1,train:1573-s0001|dev:1620-s0001,2.3年以上公有云产品销售经验，熟悉互联网和云计算相关业务（包含华为云、阿里云、腾讯云等）有华为云、阿里云、腾讯云等产品销售经验及渠道分销经验优先；
2,1,train:1573-s0002|dev:1620-s0002,3.具备云架构咨询与设计服务能力、HCIA证书者优先录取；
2,0,dev:1761-s0012|dev:1761-s0033,"2、【重点本科]月薪8000元以上，平均月薪10000元,最高月薪15000元以上。"
2,0,dev:1761-s0013|dev:1761-s0034,"3、【一般本科学历】月薪6000元以上，平均月薪7000元,最高月薪12000元以上。"
2,0,dev:1761-s0014|dev:1761-s0035,"4、【大专、高职学历】月薪5000元以上，平均月薪6000元,最高月薪90000元以上。"
2,0,dev:1761-s0015|dev:1761-s0036,工作时间：周一到周五、朝九晚六 工作地点：中关村软件园 面试时间：周一到周五。
2,0,test:1835-s0000|test:1887-s0000,职位描述： 1、优化财经 内容的排序，提升用户发布内容的转化率；
2,0,test:1835-s0001|test:1887-s0001,2、优化模型和召回，提升财经内容的分发效率，改善用户体验；
2,0,test:1835-s0002|test:1887-s0002,3、搭建和优化推荐、排序系统，提供稳定的线上服务；
2,0,test:1835-s0003|test:1887-s0003,4、挖掘数据，改善产品。
2,0,test:1835-s0004|test:1887-s0004,职位要求： 1、优秀的代码能力，掌握常用编程语言和算法；
2,0,test:1835-s0005|test:1887-s0005,2、对推荐系统、机器学习和大数据处理感兴趣，熟悉其中一项或者多项；
2,0,test:1835-s0006|test:1887-s0006,3、2 年以上工作经验；
2,0,test:1835-s0007|test:1887-s0007,4、有推荐、搜索 rank 等相关工作经验优先。
2,0,test:1868-s0007|test:1896-s0009,"福利待遇 B2B销售,精准营销,大数据,人工智能,股票期权,五险一金,带薪年假,定期体检,扁平管理"
29,0,test:1941-s0005|test:1945-s0010|test:1946-s0004|test:1947-s0014|test:1948-s0013|test:1950-s0004|test:1951-s0016|test:1952-s0013|test:1953-s0010|test:1954-s0007|test:1955-s0010|test:1956-s0012,']
3,0,test:1984-s0014|test:1999-s0038|test:1999-s0039,8.法律、法规规定的其他不得报考的情形。
2,0,test:1987-s0000|test:1987-s0001,南通开放大学始建于1979年，是一所面向全体社会成员，举办中高等职业教育、远程开放教育，社区教育和社会培训，服务全民终身学习的新型高等学校，隶属于南通市人民政府。
2,0,test:1987-s0002|test:1987-s0003,学校座落在江海交汇、人文荟萃的江苏省南通市。
2,0,test:1987-s0004|test:1987-s0005,为更好地选拔优秀适岗人才，充实人才队伍，优化师资结构，南通开放大学现面向社会公开招聘高层次人才8人，根据《江苏省事业单位公开招聘人员办法》（苏办发【2020】9号）精神，现将有关事项公告如下： 一、招聘岗位 招聘岗位及各岗位招聘条件等详见《
2,0,test:1987-s0006|test:1987-s0007,《岗位表》可在南通市人力资源和社会保障局网（http://rsj.nantong.gov.cn）、南通开放大学官网(https://www.ntou.edu.cn)查询。
2,0,test:1987-s0008|test:1987-s0009,二、资格条件 （一）具有中华人民共和国国籍，遵守中华人民共和国宪法和法律，拥护中国共产党领导和社会主义制度；
2,0,test:1987-s0010|test:1987-s0011,（二）具有良好的政治素质和道德品行；
2,0,test:1987-s0012|test:1987-s0013,（三）具有正常履行职责的身体条件和心理素质；
2,0,test:1987-s0014|test:1987-s0015,（四）博士研究生于1982年8月以后出生；
2,0,test:1987-s0016|test:1987-s0017,具有副高级专业技术资格人员放宽至1977年8月以后出生；
2,0,test:1987-s0018|test:1987-s0019,具有正高级专业技术资格人员可放宽至1972年8月以后出生。
2,0,test:1987-s0020|test:1987-s0021,（五）具备《岗位表》（附件1）中岗位要求的资格条件。
2,0,test:1987-s0022|test:1987-s0023,（1）资格条件中“专业”的设置目录为《江苏省2023年度考试录用公务员专业参考目录》（附件2）。
2,0,test:1987-s0024|test:1987-s0025,专业条件中还包括部分未列入专业参考目录但确有高等学校开设且南通开放大学需要的专业。
2,0,test:1987-s0026|test:1987-s0027,专业参考目录和招聘条件中都未列出的专业、留学人员的毕业专业，由南通开放大学根据招聘公告中明确的专业条件、应聘人员所学专业课程、研究方向等认定是否符合招聘岗位的专业要求。
2,0,test:1987-s0028|test:1987-s0029,专业名称已经调整的专业，如调整前或调整后的专业符合招聘岗位的专业要求，毕业院校以书面形式证明调整前后的专业为同一专业或专业课程基本一致，视为符合专业要求。
2,0,test:1987-s0030|test:1987-s0031,（2）应聘人员须同时具有相应学历和学位证书，且学历证书上的毕业专业与应聘专业相一致。
2,0,test:1987-s0032|test:1987-s0033,2023年毕业生，取得学历、学位证书的日期可放宽至2023年12月31日。
2,0,test:1987-s0034|test:1987-s0035,（3）“工作经历”是指正式参加工作的经历，不含个人学生时期实习、兼职工作经历。
2,0,test:1987-s0036|test:1987-s0037,应聘时须提供相关社保缴纳证明。
2,0,test:1987-s0038|test:1987-s0039,资格条件中有工作经历要求的，是指截至2023年8月的累计工作经历（按月计算）。
2,0,test:1987-s0040|test:1987-s0041,（六）取得祖国大陆普通高校学历的台湾学生和取得祖国大陆承认学历的其他台湾居民应聘时按国家和我省有关规定执行。
2,0,test:1987-s0042|test:1987-s0043,（七）有下列情形之一的，请不要报名应聘： （1）现役军人或国民教育序列普通高校在读非2023届毕业生；
2,0,test:1987-s0044|test:1987-s0045,（2）尚未解除纪律处分或者正在接受纪律审查的人员，刑事处罚期限未满或者涉嫌违法犯罪正在接受调查的人员；
2,0,test:1987-s0046|test:1987-s0047,（3）与事业单位负责人员有夫妻关系、直系血亲关系、三代以内旁系血亲关系或者近姻亲关系等亲属关系的，不得应聘《事业单位人事管理回避规定》明确应当回避的岗位；
2,0,test:1987-s0048|test:1987-s0049,（4）国（境）外留学毕业但截至报名前未取得教育部留学服务中心出具的《国（境）外学历学位认证书》的；
2,0,test:1987-s0050|test:1987-s0051,（5）新《江苏省事业单位公开招聘人员办法》于2020年3月13日起施行，根据其后发布的事业单位公开招聘人员公告，被聘用到江苏省地方各类事业单位，且在2024年2月20日前3年服务期未满的在编（在册）人员；
2,0,test:1987-s0052|test:1987-s0053,（6）2024年2月20日前，5年服务期未满的新录用公务员，或有规定（含协议明确）不得解聘离开现工作单位（岗位）的人员，或国家和省另有规定不得应聘到事业单位有关岗位的人员。
2,0,test:1987-s0054|test:1987-s0055,（7）依照《事业单位人员管理回避规定》明确应当回避的岗位。
2,0,test:1987-s0056|test:1987-s0057,三、报名安排 （一）报名时间、方式 所有岗位自公告发布之日起接受报名，有效期至2023年8月20日。
2,0,test:1987-s0058|test:1987-s0059,报考人员报名后由南通开放大学对应聘人员进行资格初审，初审时间为公告发布之日到报名截止日，初审结果在一周内以电子邮件或电话的方式告知应聘人员，如应聘人员对初审结果有异议，请向南通开放大学陈述申辩，联系方式：0513-83559926。
2,0,test:1987-s0060|test:1987-s0061,陈述申辩时间为开始报名时间至8月21日下午16:00。
2,0,test:1987-s0062|test:1987-s0063,报名采用邮箱报名方式，应聘人员填写《南通开放大学公开招聘工作人员报名登记表》（附件3），连同以下材料电子版打包发送至邮箱：ntkdrsc@126.com，邮件主题为：岗位代码+姓名+专业，应聘人员每次限报一个岗位。
2,0,test:1987-s0064|test:1987-s0065,1.各岗位要求的学历、学位证书。
2,0,test:1987-s0066|test:1987-s0067,2.有效期内的二代居民身份证（正反面复印在一张A4纸上）。
2,0,test:1987-s0068|test:1987-s0069,3.提供其他相关材料（如发表论文、课题、获奖证书、科研成果等）。
2,0,test:1987-s0070|test:1987-s0071,（二）报名注意事项 1.本次公开招聘不设开考比例。
2,0,test:1987-s0072|test:1987-s0073,资格初审通过的应聘人员，即进入资格复审。
2,0,test:1987-s0074|test:1987-s0075,2.无人报考的岗位，将取消该招聘岗位。
2,0,test:1987-s0076|test:1987-s0077,取消岗位情况在南通市人力资源和社会保障局网、南通开放大学官网公告。
2,0,test:1987-s0078|test:1987-s0079,应聘岗位被取消的报名成功人员可在2023年8月22日09:00～12:00，改报其他符合条件的岗位。
2,0,test:1987-s0080|test:1987-s0081,3.凡属于弄虚作假或者不符合报名资格条件报考的，经查实，取消应聘资格或聘用资格，并承担相应责任。
2,0,test:1987-s0082|test:1987-s0083,四、资格复审 资格复审时间、地点和其他要求等具体事宜将在南通开放大学官网公告，逾期未参加的，视为自动放弃。
2,0,test:1987-s0084|test:1987-s0085,应聘人员应携带报名相关材料原件、复印件，在规定时间、地点进行资格复审。
2,0,test:1987-s0086|test:1987-s0087,经复审，不具备报考资格、材料不全或材料信息不实影响资格复审结果的，不得进入考试程序。
2,0,test:1987-s0088|test:1987-s0089,应聘人员如对资格复审有异议，可当场向负责资格复审的南通开放大学陈述申辩。
