id,batch,status,source_domain,conflict_kind,empty_hint,sentence,prelabel_rule_v4,suggest_codex,suggest_doubao,suggest_kimi,human_spans,comment
1839-s0002,05,todo,人工智能招聘,empty_mismatch,, 3、能够快速熟悉外部设备的SDK，并将设备接入现有系统平台，实现推流和拉流操作；,快速熟悉外/T | 接入现/S | 推流和拉流操/S,[],设备接入/S | 系统平台/K | 推流/S | 拉流/S,SDK/S | 推流/S | 拉流/S,,
1839-s0003,05,todo,人工智能招聘,span_mismatch,, 4、实现视频编解码功能和相关平台的优化；,实现视/S | 优化/S,优化/S,视频编解码/S,视频编解码/S | 优化/S,,
1839-s0006,05,todo,人工智能招聘,span_mismatch,,"对视频行业有深入的认识和理解 2.精通RTP/RTCP协议,有丰富的RTP/RTCP协议解析编程经验;",视频行业有/K | RTCP协议/K | 经验/S,RTCP协议/K,视频行业/K | RTCP协议/K | 协议解析/S | 编程/S,视频行业/K | RTP/RTCP协议/K | RTP/RTCP协议解析编程经验/S,,
1839-s0007,05,todo,人工智能招聘,span_mismatch,, 3.熟悉directshow，OPENGL开发;,directshow，OPENGL开发/S,directshow/S,directshow/S | OPENGL/S | 开发/S,directshow/S | OPENGL开发/S,,
1839-s0008,05,todo,人工智能招聘,span_mismatch,," 4.熟悉视频Codec，熟悉H263, H264等. 5.有语音通讯开发经验，了解语音输入输出技术，更佳 6.有流媒体或视频系统开发及优化经历者优先. 7.有视频图像识别算法开发经验 （来源 马克数据网）","视频Codec/K | H263, H264等. 5/K | 语音通讯开发经验/S | 语音输入输出技术/K | 视频系统开发及优/S | 视频图像识别算法/S",视频Codec/K | H263/K | 系统开发/S | 图像识别/K | 算法开发/S,视频Codec/K | H263/K | H264/K | 语音通讯开发/S | 语音输入输出技术/K | 视频系统开发/S | 视频图像识别算法开发/S,视频Codec/K | H263/K | H264/K | 语音通讯开发经验/S | 语音输入输出技术/K | 流媒体/K | 视频系统开发及优化经历/S | 视频图像识别算法开发经验/S,,
1840-s0000,05,todo,人工智能招聘,span_mismatch,,岗位职责：1、这个岗位主要负责公司智能交通大数据平台项目的运营工作，提升业务营运效益，带领公司的管理团队，执行公司的经营战略，完成公司的年度业务计划；,大数据平台项/K | 运营工作/S | 提升业/S | 带领公/S | 执行公/S | 经营战略，完成公/K,大数据平台/K,智能交通/K | 大数据平台/K | 运营/S,大数据平台/K | 运营工作/S | 业务营运效益/S | 管理团队/S | 经营战略/K | 年度业务计划/S,,
1840-s0001,05,todo,人工智能招聘,empty_mismatch,,2、负责公司全年整体营销策略的拟定与实施，并对营销预算进行整体预测，制定工作计划并实施；,营销策略的拟/K | 与实施/S | 营销预算进/K | 制定工作计划并实/S,实施/S,[],营销策略/K | 营销预算/K | 工作计划/S,,
1840-s0002,05,todo,人工智能招聘,span_mismatch,,3、组织分解落实市场目标、公关策略和具体实施方案，全面负责政府项目的市场营销工作；,组织分/S | 落实市/S | 市场营销工作/K,市场营销/K,公关策略/K | 实施方案/S,市场目标/K | 公关策略/K | 市场营销工作/S,,
1840-s0003,05,todo,人工智能招聘,empty_mismatch,,4、负责组建市场团队并完善管理体系和推广模式，制定和完善市场管理规范和工作流程；,组建市场团队并完/T | 推广模式，制定和/S | 市场管理规范和工/K,[],推广模式/K | 市场管理规范/K,市场团队/S | 管理体系/K | 推广模式/S | 市场管理规范/K | 工作流程/S,,
1840-s0004,05,todo,人工智能招聘,span_mismatch,,5、负责与各相关部门协调，合理调配利用资源，策划并带领团队执行市场工作计划。,协调/T | 调配利/S | 策划并带领团队执/T,协调/T,部门协调/T | 团队执行/S,协调/T | 资源/S | 策划/S | 团队/T | 市场工作计划/S,,
1841-s0001,05,todo,人工智能招聘,span_mismatch,, 2、参与策划与执行，对平台数据分析和挖掘，定期总结效果，优化解决方案；,策划与执行/S | 数据分析和挖掘/S | 总结效/S | 优化解/S,策划/S | 数据分析/S,数据分析/S,策划与执行/S | 数据分析/S | 挖掘/S | 总结效果/S | 优化解决方案/S,,
1841-s0002,05,todo,人工智能招聘,empty_mismatch,," 3、地推团队的组建与管理，拓展渠道及发展商业合作伙伴, 并对数据做分析总结；",组建与管理，拓展/S | 对数据做分析总结/S,管理/S,[],地推团队/S | 组建与管理/S | 拓展渠道/S | 商业合作伙伴/S,,
1841-s0005,05,todo,人工智能招聘,empty_mismatch,, 5、负责对员工入职后的各项工作安排，业务考核及技能指导，完善各项管理制度。,对员工入职后的各/S,[],业务考核/S | 技能指导/S,业务考核/S | 技能指导/S | 管理制度/K,,
1841-s0006,05,todo,人工智能招聘,span_mismatch,, 任职要求： 1、市场营销、电子商务、广告、专业，大专以上学历，2年以上同岗位经验，口腔医疗行业经验优先；,市场营销/K | 电子商/K,市场营销/K | 电子商务/K | 大专/K | 医疗行业/K,市场营销/K | 电子商务/K | 广告/K | 大专以上学历/K | 口腔医疗行业/K,市场营销/K | 电子商务/K | 广告/K | 大专以上学历/K | 同岗位经验/S | 口腔医疗行业经验/S,,
1841-s0007,05,todo,人工智能招聘,span_mismatch,, 2、独立思维，市场触觉敏锐，较强的沟通协调能力及商务谈判技巧；,独立思维，市场触/T | 沟通协调能力及商/T,独立思维/T | 沟通协调能力/T | 商务谈判/S,独立思维/T | 沟通协调能力/T | 商务谈判技巧/S,独立思维/T | 市场触觉敏锐/T | 沟通协调能力/T | 商务谈判技巧/S,,
1841-s0008,05,todo,人工智能招聘,span_mismatch,,团队建设管理经验，承压能力强；,团队建设管理经验/T | 承压能力强/T,承压能力强/T,团队建设管理/S | 承压能力/T,团队建设管理经验/T | 承压能力/T,,
1842-s0000,05,todo,人工智能招聘,span_mismatch,,岗位职责： 1.把握安防行业市场趋势，并根据公司的情况和产品规划，制定产品研发推广计划；,安防行业市/K | 制定产/S | 推广计划/S,产品规划/S,安防行业/K | 市场趋势/K | 产品规划/K,安防行业市场趋势/K | 产品规划/K | 产品研发推广计划/S,,
1842-s0001,05,todo,人工智能招聘,empty_mismatch,, 2.产品线内新品上市全案跟踪，新产品上市推广计划的实施和后续评估；,新品上市全案跟踪/S,[],新品上市全案跟踪/S,新品上市全案跟踪/S | 新产品上市推广计划/S | 后续评估/S,,
1842-s0003,05,todo,人工智能招聘,span_mismatch,, 4.以产品负责人的角色，协调市场、销售、生产、研发等部门，共同寻求解决方案；,协调市/T | 销售/K | 生产/K | 研发/K | 寻求解决方案/S,销售/S | 研发/S,解决方案/S,协调/T | 市场/K | 销售/K | 生产/K | 研发/K | 解决方案/S,,
1842-s0005,05,todo,人工智能招聘,type_only,, 6.协助营销中心做好各种售前、售后培训。,售前/K | 售后培训/K,售后培训/K,售后培训/S,售前/K | 售后培训/S,,
1842-s0006,05,todo,人工智能招聘,span_mismatch,, 任职要求： 1.两年以上安防行业、电子通信行业、智能家居行业产品经理经验或产品策划管理经验；,安防行业/K | 电子通/K | 产品策划管理经验/K,通信行业/K | 智能家居/K | 产品策划/S,安防行业/K | 电子通信行业/K | 智能家居行业/K | 产品经理/S | 产品策划管理/S,安防行业/K | 电子通信行业/K | 智能家居行业/K | 产品经理经验/S | 产品策划管理经验/S,,
1842-s0008,05,todo,人工智能招聘,span_mismatch,, 3.熟悉安防产品整体实现过程，包括从需求分析到产品发布，深刻理解用户需求；,安防产品整体实现/K | 需求分析到产品发/S | 用户需求/K,需求分析/S,安防产品/K | 需求分析/S | 产品发布/S,安防产品整体实现过程/K | 需求分析/S | 产品发布/S | 用户需求/K,,
1842-s0009,05,todo,人工智能招聘,span_mismatch,, 4.良好的跨部门沟通能力和团队协作能力，独立工作能力强，态度积极，有敬业精神和解决问题的能力；,跨部门沟通能力和/T | 解决问题的能力/T,沟通能力/T | 团队协作能力/T | 独立工作能力/T | 敬业精神/T | 解决问题/S,跨部门沟通/T | 团队协作/T | 独立工作能力/T | 敬业精神/T,跨部门沟通能力/T | 团队协作能力/T | 独立工作能力/T | 敬业精神/T | 解决问题的能力/T,,
1842-s0010,05,todo,人工智能招聘,span_mismatch,, 5.数据分析能力强及良好的分析、谈判能力。,数据分析能/S | 谈判能/T,数据分析/S | 谈判/S,数据分析/S | 谈判能力/T,数据分析能力/S | 谈判能力/T,,
1843-s0002,05,todo,人工智能招聘,span_mismatch,, 3、负责数据平台相关数据管理工作，如研发规范、质量规范、保障规范的制定与推动实施落地；,数据平台相关/K | 数据管理工作/K | 研发规范/K | 质量规/K,数据平台/K,数据平台/K | 数据管理/S | 研发规范/K | 质量规范/K | 保障规范/K,数据平台/K | 数据管理工作/S | 研发规范/K | 质量规范/K | 保障规范/K,,
1843-s0003,05,todo,人工智能招聘,span_mismatch,, 4、负责数据产品如用户画像等设计、研发，负责来自业务团队数据需求的研发支撑。,数据产品如用户画/K | 业务团队数/T | 研发支撑/S,用户画像/K,数据产品/K | 用户画像/K | 设计/S | 研发/S,数据产品/K | 用户画像/K | 设计/S | 研发/S | 业务团队/K | 数据需求/K | 研发支撑/S,,
1843-s0004,05,todo,人工智能招聘,span_mismatch,, 任职资格: 1、熟悉Linux开发技术，有SQL、ETL开发经验；,Linux开发技术/S | ETL开发经验/S,Linux/S | SQL/S,Linux开发/S | SQL/S | ETL开发/S,Linux开发技术/S | SQL/S | ETL开发经验/S,,
1843-s0005,05,todo,人工智能招聘,span_mismatch,, 2、了解Hadoop/Hive/Spark等大数据技术，有较丰富的HiveSQL性能调优经验，至少熟练使用Shell、Python、Perl等脚本语言之一；,Spark等/S | HiveSQL性能调优经验/S | 熟练使用Shell、Python/S,Hadoop/S | Hive/S | Spark/S | 大数据/K | Shell/S | Python/S | Perl/S | 脚本语言/K,Hadoop/S | Hive/S | Spark/S | 大数据技术/K | HiveSQL性能调优/S | Shell/S | Python/S | Perl/S | 脚本语言/S,Hadoop/S | Hive/S | Spark/S | 大数据技术/K | HiveSQL性能调优经验/S | Shell/S | Python/S | Perl/S,,
1843-s0006,05,todo,人工智能招聘,span_mismatch,, 3、了解数据仓库建设基本思路，有数据仓库建设项目经验；,数据仓库建设基本/K | 数据仓库建设项目/K,数据仓库/K,数据仓库建设/K,数据仓库建设/K | 数据仓库建设项目经验/S,,
1843-s0007,05,todo,人工智能招聘,span_mismatch,, 4、具备互联网/电商行业的数据开发经验优先考虑；,数据开发经验/S,电商行业/K,互联网/K | 电商行业/K | 数据开发/S,数据开发经验/S,,
1843-s0008,05,todo,人工智能招聘,span_mismatch,, 5、工作认真、负责、仔细，有良好的团队合作精神，良好的分析及沟通能力。,团队合作精/T | 分析及沟通能/T,团队合作精神/T | 分析/S | 沟通能力/T,工作认真/T | 负责/T | 仔细/T | 团队合作精神/T | 沟通能力/T,团队合作精神/T | 沟通能力/T,,
1844-s0002,05,todo,人工智能招聘,span_mismatch,, - 与技术团队协作，确保产品开发符合用户需求。,协作/T | 产品开发符/S,产品开发/S,技术团队协作/T | 产品开发/S | 用户需求/K,[],,
1845-s0000,05,todo,人工智能招聘,span_mismatch,,职责描述： 1、对公司运营的人工智能英语产品内容进行丰富和完善。,人工智能英/K,人工智能/K | 英语/L,人工智能英语产品/K,[],,
1845-s0001,05,todo,人工智能招聘,span_mismatch,, 2、梳理并完善完善小初高中英语知识图谱，按知识难易程度，完善考试题库。,梳理并完善完/S | 小初高中英语知识/L | 考试题库/K,高中/K | 英语/L,英语知识图谱/K | 考试题库/K,[],,
1845-s0003,05,todo,人工智能招聘,span_mismatch,, 3、教学管理：负责公司的教学产品管理工作，对中小学教学团队进行指导、改进教学质量；,教学管理/S | 教学产品管理工作/S | 教学团队进/T | 指导/S | 改进教学质/S,教学管理/S | 产品管理/S | 指导/S,教学管理/S | 教学产品管理/S,[],,
1845-s0005,05,todo,人工智能招聘,span_mismatch,, 4、运营推广：确定产品课程核心竞争力、辅助运营进行产品课程卖点提炼，并为产品课程的宣传、销售提供支持和产品课程知识培训。,确定产品课程核心/S | 宣传/S | 销售提/S | 知识培训/S,运营推广/S,卖点提炼/S | 知识培训/S,[],,
1845-s0007,05,todo,人工智能招聘,empty_mismatch,, 2、5年以上培训机构课程研发设计或者一线教学工作经验；,课程研发设计或者/S | 教学工作/S,[],课程研发设计/S | 一线教学/S,课程研发设计/S | 一线教学工作/S,,
1845-s0008,05,todo,人工智能招聘,empty_mismatch,, 3、具有较强的演说及培训能力，有课程录制经验；,演说及培训能/T | 课程录制经验/S,[],培训能力/S | 课程录制/S,培训能力/T | 课程录制经验/S,,
1845-s0009,05,todo,人工智能招聘,span_mismatch,, 4、优秀的团队建设经验，团队管理能力强，善于协调团队的工作；,团队建设经验/T | 团队管理能/T | 协调团队的工作/T,团队管理/S,团队建设/S | 团队管理/S,团队建设经验/T | 团队管理能力/T,,
1845-s0011,05,todo,人工智能招聘,span_mismatch,,逻辑性强和良好的语言表达能力；,强和良/T | 语言表达能力/T,逻辑性强/T | 表达能力/T,逻辑性强/T | 语言表达能力/T,逻辑性/T | 语言表达能力/T,,
1846-s0005,05,todo,人工智能招聘,empty_mismatch,, 薪酬：base/年＊14-16个月＋期权＋各种福利＋成长空间 各种零食、不定期outing，固定活动日 岗位职责 1、反作弊模型的设计和研发 2、异常检测算法的设计和研发 3、反作弊体系和反作弊平台建设 岗位要求 1、本科以上学历，数学、计算机相关专业 2、数学、机器学习基础扎实 3、精通常用的数据挖掘方法的理论基础及应用 4、精通C/C++或JAVA编程，会至少一门脚本语言python/matlab等 5、熟悉大规模数据挖掘、机器学习、分布式计算中一项或多项，具备实际工作经验 6、了解机器学习领域的最新进展，能够快速学习新理论和方法 简历请发：raoying@ishumei.com 欢迎加QQ交流：3042131761 【您能得到的】 o 在这里，你能接触到最新的大数据技术，解决实时数据、大数据处理、算法、数据挖掘的技术难题，了解大数据行业的价值源泉。,反作弊模型的设计/S | 异常检测算法的设/S | 反作弊体系和反作/K | 数学/K | 计算机相关/K | 机器学习基/K | 常用的数据挖/K | C/C++或/S | 大规模数据挖/K | 分布式计算中/K | 机器学习领域/K | 最新的大数据技术/S,[],反作弊平台建设/S | 本科以上学历/K | 数学/K | 计算机/K | 机器学习/K | 数据挖掘/K | C/S | C++/S | JAVA/S | 脚本语言/S | python/S | matlab/S | 大规模数据挖掘/K | 分布式计算/K,反作弊模型/K | 异常检测算法/K | 反作弊体系/K | 反作弊平台/S | 本科以上学历/K | 数学/K | 计算机相关专业/K | 机器学习/K | 数据挖掘/K | C/C++/S | JAVA/S | 大规模数据挖掘/K | 机器学习/K | 分布式计算/K | 机器学习领域/K,,
1846-s0010,05,todo,人工智能招聘,empty_mismatch,,"基于日渐成熟的大数据技术（例如：Hadoop, Spark, 机器学习，深度学习、强化学习、图像识别，搜索引擎和自然语言处理等）挖掘数据内部的价值 核心产品反欺诈SaaS云服务：Data-R 风险决策系统、Data-X垃圾文本识别引擎、Data-M垃圾图片识别引擎、Data-V欺诈账户识别引擎。",大数据技术（/K | 机器学习，深度学/K | 挖掘数/S,大数据/K | Hadoop/S | Spark/S | 机器学习/K | 深度学习/K | 强化学习/K | 图像识别/K | 搜索引擎/K | 自然语言处理/K,[],Hadoop/S | Spark/S | 机器学习/K | 深度学习/K | 强化学习/K | 图像识别/K | 搜索引擎/K | 自然语言处理/K,,
1846-s0011,05,todo,人工智能招聘,empty_mismatch,,通过领先的机器学习模型和强化学习技术，提供完整的实时反欺诈解决方案。,机器学习模型和强/K | 实时反欺诈解决方/S,机器学习/K | 强化学习/K,[],机器学习模型/K | 强化学习/K | 实时反欺诈解决方案/S,,
1847-s0000,05,todo,人工智能招聘,span_mismatch,,工作职责： 1、负责搭建以Spark技术栈为核心的大数据处理应用框架；,搭建以Spark技术栈为/S | 应用框架/S,Spark/S | 大数据处理/S,Spark技术栈/K,Spark技术栈/S | 大数据处理/K | 应用框架/S,,
1847-s0001,05,todo,人工智能招聘,empty_mismatch,, 2、根据实际的业务需求，设计出合理的金融数据处理架构和流程，助力业务高速发展；,设计出/S | 金融数据处理架构/S,数据处理/S,[],金融数据处理架构/S,,
1847-s0002,05,todo,人工智能招聘,empty_mismatch,, 任职要求： 1、计算机相关专业，本科学历以上，至少5年工作经验；,计算机相关/K,计算机相关专业/K | 本科学历/K,[],计算机相关专业/K | 本科学历以上/K,,
1847-s0003,05,todo,人工智能招聘,span_mismatch,, 2、精通Spark Streaming，对Spark有源码修改能力；,有源码修改能力/S,Spark/S,Spark Streaming/S,Spark Streaming/S | Spark/S | 源码修改能力/S,,
1847-s0006,05,todo,人工智能招聘,span_mismatch,, 5、从事过复杂事件处理（CEP）的系统设计与开发；,复杂事件处理（CEP/K | 系统设计与开发/S,系统设计/S | 开发/S,复杂事件处理/K | CEP/K | 系统设计/S,复杂事件处理（CEP）/K | 系统设计/S | 开发/S,,
1847-s0007,05,todo,人工智能招聘,span_mismatch,, 6、自我驱动，自主学习新的技术和分析方法，并勇于在业务上进行创新。,自我驱动，自主学/T | 技术和分析方法/K | 勇于在业务上进行/T,自我驱动/T,自我驱动/T | 自主学习/T | 分析方法/K,自我驱动/T | 自主学习/T | 新的技术/K | 分析方法/K | 创新/T,,
1848-s0000,05,todo,人工智能招聘,empty_mismatch,,1、负责对数据进行深度分析和挖掘，为优化产品的设计提供数据支持；,数据进行深度分析/S | 优化产品的设计提/S | 数据支持/K,[],数据支持/S,深度分析/S | 挖掘/S | 数据支持/K,,
1848-s0001,06,todo,人工智能招聘,span_mismatch,, 2、负责对业务运营的各环节进行有价值的专题研究，如对数据挖掘和预测模型的研究、完善重要数据监控流程、探索对运营工作的数据评价模型等等；,专题研究/S | 数据挖掘和预测模/S | 完善重/S | 数据监控流程、探/S | 数据评价模型等等/S,数据挖掘/S | 预测模型/K | 数据监控/S,专题研究/S | 数据挖掘/S,专题研究/S | 数据挖掘/S | 预测模型/K | 数据监控流程/S | 数据评价模型/K,,
1848-s0002,06,todo,人工智能招聘,span_mismatch,, 3、与业务团队紧密沟通和联系，解决各部门数据统计和分析需求；,业务团队紧/T | 沟通和联系，解决/T | 数据统计和分析需/S,沟通/T | 数据统计/S,数据统计/S,沟通/T | 数据统计/S | 分析/S,,
1848-s0003,06,todo,人工智能招聘,span_mismatch,, 4、探索并归纳用户标签属性及行业数据及指标，了解行业发展潮流指向及数据情况，负责跟踪数据挖掘和数据分析领域的技术发展方向，定期共享研究成果。,用户标签属性及行/K | 行业发展潮流指向/K | 数据挖掘和数据分/K | 技术发展方向/K | 研究成果/K,数据挖掘/S | 数据分析/S,用户标签属性/K | 行业数据/K | 行业发展潮流/K | 数据挖掘/K | 数据分析/K,用户标签属性/K | 行业数据/K | 数据挖掘/S | 数据分析/S | 技术发展方向/K | 研究成果/K,,
1848-s0004,06,todo,人工智能招聘,span_mismatch,, 任职要求： 1、软件电商相关专业，统计学、经济学等相关专业，硕士以上学历；,软件电商相关/K | 统计学/K | 经济学等/K,相关专业/K | 统计学/K | 经济学/K | 硕士/K,统计学/K | 经济学/K | 硕士以上学历/K,软件电商相关专业/K | 统计学/K | 经济学/K | 硕士以上学历/K,,
1848-s0005,06,todo,人工智能招聘,span_mismatch,, 2、有至少3年以上相关工作经验，有大数据分析经验者优先；,大数据分析经验/S,数据分析/S,大数据分析/S,大数据分析经验/S,,
1848-s0006,06,todo,人工智能招聘,span_mismatch,, 3、 1年以上数据分析，挖掘和建模经验，数据分析相关专业；,数据分析，挖掘和/S,数据分析/S | 建模/S | 相关专业/K,数据分析/S | 建模/S,数据分析/S | 挖掘/S | 建模经验/S | 数据分析相关专业/K,,
1848-s0007,06,todo,人工智能招聘,span_mismatch,, 4、具有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型；,数据分析能力/S | 速理解业务/T | 设计相应/S | 数据模型/K,数据分析/S | 数据模型/K,数据分析能力/S,数据分析能力/S | 理解业务/T | 设计/S | 数据模型/K,,
1848-s0008,06,todo,人工智能招聘,span_mismatch,, 5、能够熟练地使用SQL，掌握SPSS、SAS、Weka、R等相关数据分析软件之一；,使用SQL，掌握SPSS/S,SQL/S | SPSS/S | SAS/S | 数据分析/S,SQL/S | SPSS/S | SAS/S | Weka/S | R/S | 数据分析软件/K,SQL/S | SPSS/S | SAS/S | Weka/S | R/S,,
1848-s0009,06,todo,人工智能招聘,span_mismatch,,熟悉数据库内分析或者Hadoop Mahout大规模并行分析者优先；,数据库内分析或者/K | Hadoop Mahout大规模并行/S,数据库/K | Hadoop/S,数据库内分析/S | Hadoop/S | Mahout/S | 大规模并行分析/S,数据库内分析/S | Hadoop Mahout大规模并行分析/S,,
1848-s0010,06,todo,人工智能招聘,span_mismatch,, 6、了解用户深度属性背景，有互联网相关行业背景，有网站用户行为研究和数据挖掘经验者优先；,用户深度属性背景/K | 互联网相关行业背/K | 网站用户行为研究/K,数据挖掘/S,用户深度属性/K | 网站用户行为研究/S | 数据挖掘/S,用户深度属性背景/K | 互联网相关行业背景/K | 网站用户行为研究/K | 数据挖掘经验/S,,
1848-s0011,06,todo,人工智能招聘,span_mismatch,, 7、工作态度认真、责任心强，热情有干劲，富于团队精神，有很强的学习能力，沟通能力。,团队精神/T | 学习能力，沟通能/T,责任心强/T | 团队精神/T | 学习能力/T | 沟通能力/T,工作态度认真/T | 责任心/T | 热情/T | 团队精神/T | 学习能力/T | 沟通能力/T,责任心/T | 团队精神/T | 学习能力/T | 沟通能力/T,,
1849-s0001,06,todo,人工智能招聘,empty_mismatch,,公司借助大数据、人工智能等金融科技，依托银行、P2P、证券和保险等近百家合作平台，致力于整合产品资源、渠道资源和技术资源，构筑多元化综合服务平台。,大数据/K | 人工智能/K | 银行/K | 证券和/K | 整合产/S | 渠道资源和技术资/K,大数据/K | 人工智能/K,[],大数据/K | 人工智能/K | 金融科技/K,,
1849-s0004,06,todo,人工智能招聘,span_mismatch,," 一．招聘职位：电话客服：通过电话沟通需求贷款人员为客户提供贷款服务, 二．招聘要求：年龄要求18-35岁，语言表达能力强：学历不限，有工作经验者优选, 三．薪资待遇：底薪2500+提成10%-15%,月综合8000以上, 四．上班时间：早上9:30-12:00，下午2:00-6:30， 周末双休，节假日带薪休假, 有什么不清楚的可以点击屏幕下方的在线交谈与我取得联系，也可以直接来电咨询",电话沟通需/T | 语言表达能/T,表达能力/T | 学历/K,电话沟通/S | 贷款服务/S | 语言表达能力/T,语言表达能力强/T,,
1850-s0000,06,todo,人工智能招聘,empty_mismatch,,"工作职责-负责跨境电商产品后台发展规划及产品设计，持续性改善产品体验-调研其他外贸类电商类产品，包括数据调研、用户行为分析竞品功能设计，以数据为核心，为产品迭代提供方向-负责产品开发质量的整体把控，包括研发的推进，测试的把控，出现问题具备快速分析并解决的能力-负责产品推进过程中与业务部门的沟通和协调，收集业务需求，完善产品方案-对产品线上效果负责任职要求-本科及以上学历-1年以上互联网电商类产品设计，熟练使用多种产品设计工具，独立完成软件交互设计、原型设计-优秀的数据分析和挖掘能力，对电商产品全生命周期了解，对各类营销模式的用户体验和特色功能有敏锐的感知力-有实体外贸商业，跨境电商设计经验优先-熟悉B2B的电商运营模式，营销资源设置，具备较高的商业敏感度-逻辑清楚，思维活跃，学习能力强,具有较好的语言文字表达能力-具备良好的组织协调能力，敏锐的市场洞察力福利待遇股票期权,弹性工作,五险一金,免费班车,岗位晋升,节日礼物,大数据,广告,工程师文化",跨境电商产品后台/K | 产品设计，持续性/S | 外贸类电商类产品/K | 数据调/K | 用户行为分析竞品/S | 产品迭代提/S | 产品开发质量的整/S | 研发的推进，测试/S | 快速分析并解决的/S | 产品推进过/S | 沟通和协调，收集/T | 产品线上效果负责/K | 互联网电商类产品/K | 使用多种产品设计/S | 软件交互设计、原/S | 数据分析和挖掘能/S | 电商产品全生命周/K | 营销模式的用户体/K | 感知力-/T | 实体外贸商业，跨/K | B2B的电商运营模式/K | 商业敏感度-逻辑/T | 语言文字表达能力/S | 组织协调能力/T | 市场洞察力福/T,[],产品设计/S | 数据调研/S | 用户行为分析/S | 竞品功能设计/S | 产品迭代/S | 本科及以上学历/K | 产品设计工具/K | 软件交互设计/S | 原型设计/S | 数据分析/S | 电商产品全生命周期/K | 营销模式/K | 用户体验/K | 实体外贸/K | 跨境电商设计/S | 营销资源设置/K | 商业敏感度/T | 逻辑清楚/T | 思维活跃/T | 学习能力/T | 语言文字表达能力/T | 组织协调能力/T | 市场洞察力/T,产品设计/S | 数据调研/S | 用户行为分析/S | 竞品功能设计/S | 产品迭代/S | 研发/S | 测试/S | 快速分析并解决的能力/S | 沟通/T | 协调/T | 本科及以上学历/K | 产品设计工具/S | 交互设计/S | 原型设计/S | 数据分析/S | 挖掘能力/S | 电商产品全生命周期/K | 营销模式/K | 跨境电商设计经验/S | B2B的电商运营模式/K | 营销资源设置/S | 商业敏感度/T | 逻辑清楚/T | 学习能力强/T | 语言文字表达能力/T | 组织协调能力/T | 市场洞察力/T,,
1851-s0001,06,todo,人工智能招聘,span_mismatch,, 2、管理和带领团队，完成嵌入式图像识别产品的整个设计、开发、产品化过程；,带领团/T | 完成嵌/T | 图像识别产/K | 设计/S | 开发/S | 产品/S,图像识别/K | 设计/S | 开发/S,嵌入式图像识别产品/K | 产品化/S,带领团队/T | 图像识别/K | 设计/S | 开发/S | 产品化/S,,
1851-s0003,06,todo,人工智能招聘,span_mismatch,, 任职资格： 1、全日制本科及以上学历，电子、计算机、自动化、图像识别、模式识别等相关专业，两年以上相关岗位工作经验；,电子、计算机、自/K,本科及以上学历/K | 电子/K | 计算机/K | 自动化/K | 图像识别/K | 模式识别/K | 相关专业/K,本科及以上学历/K | 电子/K | 计算机/K | 自动化/K | 图像识别/K | 模式识别/K,全日制本科及以上学历/K | 电子/K | 计算机/K | 自动化/K | 图像识别/K | 模式识别/K,,
1851-s0004,06,todo,人工智能招聘,span_mismatch,, 2、做过ADAS产品开发，熟悉业内成熟的软硬件方案、算法，有自主开发能力和成功的开发经验；,ADAS产品开发/S | 业内成熟的软硬件/K | 自主开发能力和成/S,产品开发/S | 业内成熟/K | 算法/K,ADAS产品开发/S | 软硬件方案/K | 算法/K | 自主开发/S,ADAS产品开发/S | 软硬件方案/K | 算法/K | 自主开发能力/S | 开发经验/S,,
1851-s0005,06,todo,人工智能招聘,span_mismatch,, 3、有责任心，能主动反馈和沟通，团队协作精神强；,反馈和沟通/T | 团队/T,责任心/T | 沟通/T,责任心/T | 主动反馈/T | 沟通/T | 团队协作/T,责任心/T | 反馈/T | 沟通/T | 团队协作精神/T,,
1852-s0000,06,todo,人工智能招聘,empty_mismatch,,职责描述 1、负责公司CC软件的开发和维护工作；,公司CC软件的开发/S,开发/S,[],CC软件/S | 开发/S | 维护/S,,
1852-s0003,06,todo,人工智能招聘,span_mismatch,, 任职要求 1、学历要求：本科及以上学历，计算机科学相关专业；,计算机科学相关专/K,本科及以上学历/K | 计算机/K | 相关专业/K,本科及以上学历/K,本科及以上学历/K | 计算机科学相关专业/K,,
1852-s0005,06,todo,人工智能招聘,span_mismatch,, 2、熟悉Linux和Windows环境下基于CC的SDK开发流程，至少能熟练使用Makefile、Ninja、CMake、AutoMake、QMake等编译工具中的一种；,Linux和Windows环境下基于/S | CC的SDK开发/S | 能熟练使用Makefile/S | QMake等/S,Linux/S | Windows/S | 编译/S,Linux/S | Windows/S | Makefile/S | Ninja/S | CMake/S | AutoMake/S | QMake/S | 编译工具/K,Linux/S | Windows/S | CC/S | SDK开发/S | Makefile/S | Ninja/S | CMake/S | AutoMake/S | QMake/S,,
1852-s0008,06,todo,人工智能招聘,span_mismatch,, 5、具备良好的沟通和协作能力，有较强的学习能力，责任心强；,沟通和协作能/T | 学习能/T,沟通/T | 学习能力/T | 责任心强/T,沟通/T | 协作/T | 学习能力/T | 责任心/T,协作能力/T | 学习能力/T | 责任心/T,,
