id,source_domain,bucket,n_silver_spans,sentence
21-s0011,应届生招聘,high,3,6.拥有勇于挑战高薪的野心，服从管理，晋升主管、经理很容易！
907-s0000,应届生招聘,high,5,岗位职责：负责北美（AG）组内约170人2/3在深圳，1/3在苏州，外包员工约50-60人，主要为银行/航空公司大型机（服务器）提供7*24小时的监控服务，上报监控信息，分析及日常英语电话汇报相关监控情况。
1273-s0008,人工智能招聘,high,5, 6、应用系统技术审核、上线测试相关技术文档、升级审验测试、注册登记、运行维护管理制度实施情况。
1297-s0041,人工智能招聘,low,1, 4. 电子商务、市场营销、广告传媒等相关专业和具有相关经验者优先考虑。
963-s0006,应届生招聘,empty,0,2.年龄18岁-35岁之间，男女不限。
1273-s0010,人工智能招聘,empty,0,", 公司地址: 北京市海淀区上地五街高立二千大厦 关注公众号马克数据网"
825-s0010,应届生招聘,empty,0, 四、薪资待遇： 1、薪资：5000左右+丰厚的提成。
1575-s0010,人工智能招聘,empty,0,良好的办公环境，每月员工活动，团队气氛好；
488-s0000,应届生招聘,high,3,行政专员 1、有新闻传媒、法律、计算机专业背景及工作经验者优先;
1365-s0010,人工智能招聘,empty,0,43
1046-s0006,人工智能招聘,low,1, 任职条件： 1、数据分析相关专业，本科及以上学历，硕士及以上学历优先；
1075-s0006,人工智能招聘,empty,0,百度搜索马 克 数 据 网
1529-s0009,人工智能招聘,low,1,7、有网络数据抓取开发经验者优先。
376-s0008,应届生招聘,low,1,2、具备一定的英语口语能力，有相关工作经验者优先考虑；
1513-s0146,人工智能招聘,empty,0,lt;
1292-s0004,人工智能招聘,high,4, 3、了解FICO等评分模型，了解评级算法，如违约概率模型；
1353-s0000,人工智能招聘,low,2,职位描述:（工作内容和工作职责） 1、负责公司容器产品的需求调研、规划设计工作；
1471-s0008,人工智能招聘,low,2,能做到对违规行为不姑息、对疑难案件不放弃；
922-s0000,应届生招聘,high,7,[岗位职责：负责监测数据问题排查负责数据问题后期各部门的跟进及沟通协调工作临时的数据需求各维度指标报表数据准备任职资格：本科及以上应届毕业生或1-2年工作经验熟悉SQL系统踏实稳定，逻辑性强，需要较强的沟通协调能力有广告行业相关经验者优先]
110-s0002,应届生招聘,high,3,2、熟悉压力容器设计、制造和检验；
1560-s0004,人工智能招聘,high,4, 岗位要求： 1、本科及以上学历，计算机、GIS、遥感、测绘等相关专业优先;
1076-s0003,人工智能招聘,high,4,4.支持业务团队进行售前工作，并配合相关的售中/售后等相关业务工作；
1467-s0000,人工智能招聘,low,2,工作职责：1.移动直播平台音效算法开发和调试；
955-s0001,应届生招聘,empty,0,【应届，非应届，实习生皆可！
1513-s0089,人工智能招聘,empty,0,span style=&quot;
393-s0005,应届生招聘,low,1,2、对销售工作有较高的热情；
1226-s0011,人工智能招聘,low,1, 4、每年一次员工旅游，销售精英将有机会赴国外优秀厂家参观学习。
715-s0008,应届生招聘,low,2, 3、工作积极主动、心态良好、服从上级领导安排；
389-s0003,应届生招聘,high,3, 4、有一年以上销售经验或有建材、涂料销售经验优先，优秀应届生即可培养；
1283-s0010,人工智能招聘,high,9,6、熟悉Linux环境以及操作，熟悉SVN、Git的使用，熟悉Tomcat，Apache，Nginx等开源的服务器的配置和调优；
1566-s0001,人工智能招聘,empty,0,郑重承诺：1、工作期间一切交通住宿费用公司全额承担，个人不需要付任何费用。
960-s0001,应届生招聘,empty,0,喂鱼，销售导购招聘要求：1、学历要求初中以下2、经验要求不限3、年龄要求18-39岁抚顺开发区玖度摄影馆招聘10名营业员，薪资100元/天，工作地点：抚顺市望花区高阳路3号皇家海洋乐园内皇家海洋乐园-游客服务中心
424-s0001,应届生招聘,empty,0,2.不限经验，欢迎应届毕业生，实习生；
1230-s0005,人工智能招聘,empty,0, 5 与客户建立长久客情关系，确保客户服务的延续性。
1568-s0010,人工智能招聘,low,2,5、有B类客户分析运营经验、数据类产品类规划经验优先。
960-s0000,应届生招聘,empty,0,彩绘等！
375-s0009,应届生招聘,high,3,2、 熟悉环保行业先进技术发展及趋势，具备丰富的研发经验；
1059-s0020,人工智能招聘,empty,0, 欢迎各位前来我司报名~！
507-s0004,应届生招聘,high,3,3）懂基本电脑操作，善于表达，能有效、耐心的与客户沟通。
115-s0005,应届生招聘,low,1,特别在品质工作不饱和情况下，服从上级主管新工作的安排，并认真执行。
1171-s0003,人工智能招聘,high,6,4、搭建及维护算法服务，相关工具及软件的安装维护岗位要求：1、熟悉大数据分析、机器学习、数据挖掘等相关技术；
1256-s0008,人工智能招聘,high,6, 2、熟练掌握数据库Oracle、Sybase、SQLServer、Mysql中至少一种，能够熟练进行编程，拥有优秀的数据库设计能力；
1586-s0004,人工智能招聘,low,2,5.协助产品经理、运营经理，推进数据标签知识图谱建设，挖掘标签最大价值；
1069-s0008,人工智能招聘,low,2, 5、有良好的客户服务观念，工作责任心强，注重团队合作；
1350-s0001,人工智能招聘,high,3, 2、根据市场动态、客户需求等，制定调整产品运营策略，通过用户反馈和数据挖掘，优化运营效率；
1551-s0005,人工智能招聘,empty,0,6、有高并发系统、推荐和检索相关项目经验者优先；
129-s0005,应届生招聘,low,2,5. 多元化培训课程：带薪岗前培训，在职个人提升计划;
1513-s0076,人工智能招聘,empty,0,lt;
1126-s0005,人工智能招聘,low,1,有独立的DSP平台开发和负责经验；
1519-s0001,人工智能招聘,high,7,作为第一家基于Docker的云平台公司，云雀科技致力于提供简单快捷的云平台和服务，帮助客户提高开发部署效率，降低客户IT成本，并使客户可以专注于核心业务。
1539-s0004,人工智能招聘,low,2,4、负责新成员技术指导和新技术应用指导；
1095-s0001,人工智能招聘,low,2,一端聚集工程师等产业人群，推动学习成长与技术交流。
628-s0002,应届生招聘,low,2,3.试验后原始数据记录，试验报告做成；
514-s0005,应届生招聘,empty,0," * 完善的培训,帮助更快提升。"
1517-s0008,人工智能招聘,empty,0,就像那句话说的，生活不止眼前的苟且，还有诗和远方的田野。
